Matnr,Spras,Maktx
000000000010000053,EN,Conveyor Take-Up Pulley 250MM FLSM
000000000010000054,EN,Hydraulic Power Pack TYPE B MULTOTEC
000000000010000055,EN,Level Radar Transmitter HD SEW
000000000010000056,EN,Level Radar Transmitter 6/4 METSO
000000000030000010,EN,Conveyor Drive Gearbox 200MM FLSM
000000000010000057,EN,Level Radar Transmitter 8/6 SIEMENS
000000000010000058,EN,Ball Mill Shell Liner Plate 150MM FLSM
000000000030000011,EN,Pressure Transmitter Assembly HD
000000000010000059,EN,Conveyor Take-Up Pulley 10/8 SIEMENS
000000000010000060,EN,Ball Mill Gearbox Assembly TYPE B KSB
000000000030000012,EN,PLC Digital Output Card 10/8 WEIR
000000000010000061,EN,Crusher Main Shaft Bearing DN100 FLSM
000000000080000019,EN,Valve Assembly 200MM MULTOTEC
000000000030000013,EN,Pressure Transmitter Assembly 150MM KSB
000000000010000062,EN,Skirt Rubber Liner Section 10/8 SEW
000000000010000063,EN,Mill Liner 250KW KSB
000000000080000020,EN,Vertical Sump Pump Column DN150 KSB
000000000010000064,EN,Ventilation Fan Motor 150MM METSO
000000000010000065,EN,Belt Scraper Blade Cartridge 250MM WEIR
000000000010000066,EN,Level Radar Transmitter 200MM SKF
000000000010000067,EN,Slurry Pump Wet End Assembly 110KW FLSM
000000000010000068,EN,Ball Mill Gearbox Assembly TYPE B FLSM
000000000010000069,EN,Ball Mill Gearbox Assembly 150MM KSB
000000000010000070,EN,Ventilation Fan Motor TYPE B SEW
000000000010000071,EN,Crusher Hydroset Cylinder DN150 METSO
000000000010000072,EN,Pump Impeller 250MM SKF
000000000010000073,EN,Conveyor Drive Gearbox TYPE B SEW
000000000080000021,EN,Flow Meter Sensor Head 200MM WEIR
000000000010000074,EN,Slurry Pump Wet End Assembly 10/8 ABB
000000000010000075,EN,Thickener Rake Seal Kit 10/8 ABB
000000000010000076,EN,Pressure Transmitter Assembly 6/4
000000000010000077,EN,Vertical Sump Pump Column TYPE A SIEMENS
000000000010000078,EN,Valve Assembly 150MM KSB
000000000010000079,EN,Apron Feeder Gear Reducer DN150 SANDVIK
000000000010000080,EN,Pump Impeller 200MM MULTOTEC
000000000010000081,EN,Pump Impeller DN150 KSB
000000000010000082,EN,Valve Assembly TYPE A SIEMENS
000000000080000022,EN,Level Radar Transmitter 200MM KSB
000000000010000083,EN,Slurry Pump Wet End Assembly DN100 FLSM
000000000010000084,EN,Conveyor Drive Motor 6/4 WEIR
000000000010000085,EN,Hydraulic Power Pack 200MM WEIR
000000000010000086,EN,Flotation Blower Motor HD FLSM
000000000010000087,EN,Crusher Main Shaft Bearing 250MM FLSM
000000000080000023,EN,Soft Starter Power Module 250MM SANDVIK
000000000090000003,EN,Screen Exciter Bearing HD KSB
000000000030000014,EN,Hydraulic Power Pack 10/8 SANDVIK
000000000010000088,EN,Mill Lube Pump Motor TYPE A SIEMENS
000000000010000089,EN,Flotation Cell Impeller 110KW SANDVIK
000000000030000015,EN,Skirt Rubber Liner Section 150MM FLSM
000000000080000024,EN,Gearbox Bearing 250KW SEW
000000000080000025,EN,Conveyor Drive Motor 6/4 KSB
000000000030000016,EN,Flotation Blower Motor DN100 METSO
000000000010000090,EN,Valve Assembly 200MM SANDVIK
000000000090000004,EN,Conveyor Pulley Bearing 6/4 METSO
000000000080000026,EN,Slurry Density Transmitter 6/4 WEIR
000000000010000091,EN,Conveyor Idler Roller Set 10/8 SKF
000000000030000017,EN,PLC Digital Output Card 250KW SKF
000000000080000027,EN,Variable Speed Drive Unit 55KW METSO
000000000010000092,EN,Flotation Cell Impeller TYPE A KSB
000000000010000093,EN,Flotation Cell Impeller DN150 SKF
000000000090000005,EN,Mill Liner 6/4 METSO
000000000080000028,EN,Hydraulic Pump Assembly 150MM SEW
000000000010000094,EN,Thickener Rake Seal Kit TYPE A FLSM
000000000010000095,EN,Screen Exciter Bearing 150MM MULTOTEC
000000000010000096,EN,Hydraulic Power Pack TYPE A ABB
000000000010000097,EN,Slurry Density Transmitter 55KW SKF
000000000080000029,EN,Valve Assembly 150MM FLSM
000000000030000018,EN,Mill Lube Pump Motor TYPE A FLSM
000000000010000098,EN,Hydraulic Power Pack TYPE B SKF
000000000080000030,EN,Valve Assembly TYPE B ABB
000000000010000099,EN,Hydraulic Pump Assembly TYPE B KSB
000000000010000100,EN,Conveyor Take-Up Pulley 200MM WEIR
000000000030000019,EN,Pump Impeller DN150 WEIR
000000000080000031,EN,Spherical Roller Bearing 8/6 SANDVIK
000000000010000101,EN,Ball Mill Shell Liner Plate 8/6 METSO
000000000030000020,EN,Pump Impeller 6/4 SANDVIK
000000000010000102,EN,Conveyor Drive Motor DN150 ABB
000000000030000021,EN,Hydraulic Power Pack 250KW SANDVIK
000000000010000103,EN,Ball Mill Trunnion Bearing DN100 SEW
000000000010000104,EN,Ball Mill Shell Liner Plate TYPE A WEIR
000000000030000022,EN,Pump Impeller 6/4 FLSM
000000000010000105,EN,Ball Mill Trunnion Bearing 200MM FLSM
000000000010000106,EN,Mill Lube Pump Motor 55KW METSO
000000000010000107,EN,Mill Lube Pump Motor 200MM SEW
000000000010000108,EN,Agitator Shaft Seal 6/4 MULTOTEC
000000000030000023,EN,Belt Scraper Blade Cartridge 150MM SKF
000000000010000109,EN,Centrifugal Pump Casing 8/6 ABB
000000000080000032,EN,Flotation Blower Motor HD SIEMENS
000000000010000110,EN,Thickener Rake Drive Gearbox HD
000000000010000111,EN,Gland Packing Seal Ring 250MM WEIR
000000000010000112,EN,MCC Feeder Circuit Breaker 150MM ABB
000000000010000113,EN,Cyclone Apex Liner 10/8 MULTOTEC
000000000010000114,EN,MCC Feeder Circuit Breaker TYPE A WEIR
000000000080000033,EN,Thickener Rake Drive Gearbox 8/6 KSB
000000000030000024,EN,Flotation Blower Motor 10/8 WEIR
000000000010000115,EN,Conveyor Take-Up Pulley DN150 METSO
000000000080000034,EN,Flotation Blower Motor 250MM MULTOTEC
000000000010000116,EN,Agitator Shaft Seal 110KW KSB
000000000030000025,EN,Level Radar Transmitter 200MM METSO
000000000090000006,EN,Skirt Rubber Liner Section DN150 WEIR
000000000010000117,EN,Ventilation Fan Motor 200MM KSB
000000000010000118,EN,Thickener Rake Drive Gearbox 150MM
000000000030000026,EN,Gearbox Bearing 10/8 WEIR
000000000010000119,EN,MCC Feeder Circuit Breaker 110KW ABB
000000000080000035,EN,Centrifugal Pump Casing 10/8 WEIR
000000000080000036,EN,Soft Starter Power Module TYPE B ABB
000000000010000120,EN,Crusher Hydroset Cylinder TYPE A SEW
000000000030000027,EN,Slurry Pump Wet End Assembly 250MM WEIR
000000000010000121,EN,Mill Liner 250KW WEIR
000000000030000028,EN,PLC Digital Output Card TYPE A FLSM
000000000010000122,EN,Ball Mill Trunnion Bearing DN150 KSB
000000000080000037,EN,Mill Lube Pump Motor TYPE B SANDVIK
000000000010000123,EN,Slurry Pump Mechanical Seal DN150 SKF
000000000010000124,EN,Gearbox Bearing DN150 ABB
000000000030000029,EN,Vertical Sump Pump Column 150MM SIEMENS
000000000010000125,EN,Screen Exciter Bearing 8/6 KSB
000000000030000030,EN,Crusher Main Shaft Bearing DN150 FLSM
000000000010000126,EN,Ball Mill Gearbox Assembly DN100 SEW
000000000010000127,EN,Centrifugal Pump Casing 55KW SIEMENS
000000000010000128,EN,Variable Speed Drive Unit 150MM FLSM
000000000010000129,EN,Conveyor Take-Up Pulley 200MM SKF
000000000010000130,EN,Conveyor Drive Gearbox 200MM MULTOTEC
000000000010000131,EN,Hydraulic Pump Assembly 6/4 MULTOTEC
000000000080000038,EN,Gland Packing Seal Ring DN150 SANDVIK
000000000010000132,EN,Ventilation Fan Motor TYPE A KSB
000000000010000133,EN,Agitator Shaft Seal 55KW METSO
000000000010000134,EN,Pressure Transmitter Assembly 55KW SEW
000000000010000135,EN,PLC Digital Output Card 10/8 FLSM
000000000010000136,EN,Hydraulic Power Pack TYPE B SIEMENS
000000000010000137,EN,PLC Digital Output Card DN150 METSO
000000000010000138,EN,MCC Feeder Circuit Breaker TYPE A METSO
000000000030000031,EN,Cyclone Apex Liner 200MM ABB
000000000010000139,EN,Conveyor Drive Motor 8/6 SEW
000000000010000140,EN,Conveyor Idler Roller Set 150MM MULTOTEC
000000000010000141,EN,Skirt Rubber Liner Section HD ABB
000000000010000142,EN,Ball Mill Shell Liner Plate 250MM SKF
000000000080000039,EN,Centrifugal Pump Casing HD SKF
000000000010000143,EN,Flow Meter Sensor Head 250MM METSO
000000000010000144,EN,Flow Meter Sensor Head 110KW SANDVIK
000000000030000032,EN,Centrifugal Pump Casing HD METSO
000000000010000145,EN,Apron Feeder Gear Reducer HD WEIR
000000000030000033,EN,Variable Speed Drive Unit 8/6 ABB
000000000010000146,EN,Centrifugal Pump Casing DN100 KSB
000000000080000040,EN,Pump Impeller HD KSB
000000000010000147,EN,Hydraulic Power Pack 8/6 SIEMENS
000000000090000007,EN,Crusher Hydroset Cylinder 6/4 SIEMENS
000000000080000041,EN,Valve Assembly HD SKF
000000000080000042,EN,Mill Lube Pump Motor 6/4 KSB
000000000010000148,EN,Mill Lube Pump Motor 8/6 SEW
000000000010000149,EN,Conveyor Idler Roller Set TYPE A SKF
000000000090000008,EN,Centrifugal Pump Casing 200MM WEIR
000000000080000043,EN,Agitator Shaft Seal 200MM FLSM
000000000010000150,EN,Conveyor Drive Motor 10/8 METSO
000000000010000151,EN,Slurry Pump Wet End Assembly 150MM METSO
000000000010000152,EN,Conveyor Idler Roller Set 150MM KSB
000000000030000034,EN,Level Radar Transmitter HD SKF
000000000010000153,EN,Ball Mill Trunnion Bearing DN150 SKF
000000000010000154,EN,Thickener Rake Seal Kit TYPE A SKF
000000000010000155,EN,Screen Exciter Bearing DN100 MULTOTEC
000000000010000156,EN,Vertical Sump Pump Column DN100 KSB
000000000010000157,EN,Flow Meter Sensor Head 200MM FLSM
000000000010000158,EN,Hydraulic Pump Assembly 110KW SEW
000000000080000044,EN,Hydraulic Pump Assembly HD SIEMENS
000000000010000159,EN,Ventilation Fan Motor 110KW MULTOTEC
000000000080000045,EN,Conveyor Idler Roller Set 8/6 WEIR
000000000010000160,EN,Flow Meter Sensor Head DN100 KSB
000000000010000161,EN,Apron Feeder Gear Reducer TYPE B SKF
000000000090000009,EN,Thickener Rake Drive Gearbox DN150
000000000030000035,EN,Level Radar Transmitter 200MM SEW
000000000080000046,EN,Crusher Hydroset Cylinder 150MM MULTOTEC
000000000010000162,EN,Level Radar Transmitter HD WEIR
000000000010000163,EN,Pump Impeller HD MULTOTEC
000000000010000164,EN,Mill Liner 10/8 KSB
000000000010000165,EN,Valve Assembly 8/6 SKF
000000000030000036,EN,Conveyor Drive Gearbox HD WEIR
000000000080000047,EN,Mill Lube Pump Motor 110KW FLSM
000000000010000166,EN,Slurry Pump Mechanical Seal 150MM SEW
000000000010000167,EN,Conveyor Idler Roller Set DN150 ABB
000000000010000168,EN,Ball Mill Gearbox Assembly 250KW SIEMENS
000000000030000037,EN,Ball Mill Trunnion Bearing HD KSB
000000000010000169,EN,Flotation Blower Motor HD SANDVIK
000000000010000170,EN,Flow Meter Sensor Head DN100 SANDVIK
000000000080000048,EN,PLC Digital Output Card 8/6 SANDVIK
000000000010000171,EN,Flotation Blower Motor TYPE B SKF
000000000010000172,EN,Slurry Pump Mechanical Seal DN150 WEIR
000000000010000173,EN,Flow Meter Sensor Head DN150 ABB
000000000080000049,EN,Conveyor Drive Gearbox TYPE B SKF
000000000010000174,EN,Conveyor Idler Roller Set 55KW SIEMENS
000000000010000175,EN,Mill Lube Pump Motor 55KW KSB
000000000010000176,EN,Flotation Blower Motor 55KW MULTOTEC
000000000010000177,EN,Gland Packing Seal Ring TYPE A SKF
000000000030000038,EN,Thickener Rake Seal Kit HD MULTOTEC
000000000010000178,EN,Flotation Cell Impeller TYPE A WEIR
000000000010000179,EN,Cyclone Apex Liner DN150 WEIR
000000000080000050,EN,Ventilation Fan Motor 200MM SANDVIK
000000000080000051,EN,PLC Digital Output Card 250KW METSO
000000000010000180,EN,Thickener Rake Drive Gearbox HD WEIR
000000000090000010,EN,Slurry Density Transmitter TYPE B SEW
000000000010000181,EN,Conveyor Drive Gearbox 250KW METSO
000000000080000052,EN,Slurry Pump Mechanical Seal HD FLSM
000000000010000182,EN,Conveyor Pulley Bearing 55KW FLSM
000000000010000183,EN,Hydraulic Power Pack TYPE B MULTOTEC
000000000030000039,EN,Flotation Cell Impeller TYPE A MULTOTEC
000000000010000184,EN,Level Radar Transmitter 10/8 WEIR
000000000030000040,EN,Slurry Density Transmitter 150MM METSO
000000000010000185,EN,Mill Liner 55KW SIEMENS
000000000010000186,EN,Vertical Sump Pump Column 55KW SIEMENS
000000000030000041,EN,Valve Assembly TYPE B ABB
000000000030000042,EN,Ventilation Fan Motor 250MM WEIR
000000000010000187,EN,Skirt Rubber Liner Section 250KW SANDVIK
000000000010000188,EN,Flotation Blower Motor 110KW KSB
000000000080000053,EN,Flow Meter Sensor Head 10/8 METSO
000000000010000189,EN,Flotation Cell Impeller 250KW SANDVIK
000000000010000190,EN,Conveyor Take-Up Pulley 150MM FLSM
000000000010000191,EN,Spherical Roller Bearing TYPE B SIEMENS
000000000010000192,EN,Valve Assembly 10/8 WEIR
000000000080000054,EN,Pressure Transmitter Assembly 110KW WEIR
000000000010000193,EN,Crusher Hydroset Cylinder 150MM SKF
000000000010000194,EN,Gland Packing Seal Ring 200MM ABB
000000000010000195,EN,Ventilation Fan Motor 10/8 FLSM
000000000010000196,EN,Hydraulic Power Pack DN150 SANDVIK
000000000010000197,EN,Slurry Pump Wet End Assembly DN150
000000000010000198,EN,Pressure Transmitter Assembly DN100 WEIR
000000000010000199,EN,Ball Mill Shell Liner Plate 55KW ABB
000000000030000043,EN,Conveyor Take-Up Pulley TYPE A WEIR
000000000030000044,EN,Mill Liner 150MM ABB
000000000090000011,EN,Flotation Cell Impeller 150MM SIEMENS
000000000010000200,EN,Slurry Pump Wet End Assembly 150MM METSO
000000000010000201,EN,Hydraulic Power Pack DN150 METSO
000000000030000045,EN,Agitator Shaft Seal 150MM ABB
000000000010000202,EN,Flow Meter Sensor Head 250MM SIEMENS
000000000010000203,EN,Centrifugal Pump Casing 200MM SIEMENS
000000000010000204,EN,Conveyor Idler Roller Set 8/6 METSO
000000000010000205,EN,Pressure Transmitter Assembly DN100 ABB
000000000010000206,EN,Conveyor Drive Motor HD KSB
000000000010000207,EN,Thickener Rake Drive Gearbox 6/4
000000000010000208,EN,Spherical Roller Bearing DN100 KSB
000000000080000055,EN,Ball Mill Trunnion Bearing DN100 WEIR
000000000010000209,EN,Crusher Hydroset Cylinder 55KW MULTOTEC
000000000010000210,EN,Slurry Pump Wet End Assembly DN100 ABB
000000000010000211,EN,Slurry Density Transmitter 110KW SANDVIK
000000000010000212,EN,Ball Mill Trunnion Bearing DN100 SANDVIK
000000000010000213,EN,Flow Meter Sensor Head 250MM KSB
000000000030000046,EN,Soft Starter Power Module 6/4 SKF
000000000010000214,EN,Centrifugal Pump Casing HD METSO
000000000010000215,EN,Slurry Pump Wet End Assembly DN100 METSO
000000000010000216,EN,Ventilation Fan Motor 10/8 SKF
000000000010000217,EN,Screen Exciter Bearing 150MM SEW
000000000010000218,EN,Ventilation Fan Motor 10/8 SIEMENS
000000000010000219,EN,Apron Feeder Gear Reducer DN100 WEIR
000000000030000047,EN,Flow Meter Sensor Head TYPE A WEIR
000000000080000056,EN,Conveyor Drive Motor 55KW SANDVIK
000000000010000220,EN,Conveyor Take-Up Pulley HD SIEMENS
000000000010000221,EN,Ventilation Fan Motor TYPE B MULTOTEC
000000000010000222,EN,Variable Speed Drive Unit DN100 WEIR
000000000010000223,EN,Conveyor Take-Up Pulley HD SEW
000000000010000224,EN,PLC Digital Output Card TYPE B MULTOTEC
000000000010000225,EN,Pressure Transmitter Assembly 150MM SEW
000000000010000226,EN,Centrifugal Pump Casing 250MM MULTOTEC
000000000010000227,EN,Crusher Hydroset Cylinder 110KW SANDVIK
000000000010000228,EN,Pressure Transmitter Assembly 200MM
000000000030000048,EN,Conveyor Drive Gearbox 250MM SANDVIK
000000000010000229,EN,Slurry Pump Mechanical Seal 8/6 ABB
000000000080000057,EN,Thickener Rake Drive Gearbox 10/8
000000000010000230,EN,Conveyor Take-Up Pulley 150MM WEIR
000000000010000231,EN,Skirt Rubber Liner Section DN150 SANDVIK
000000000010000232,EN,Pressure Transmitter Assembly 10/8
000000000010000233,EN,Mill Liner 200MM SANDVIK
000000000010000234,EN,Valve Assembly DN150 FLSM
000000000030000049,EN,Apron Feeder Gear Reducer 10/8 FLSM
000000000030000050,EN,Conveyor Idler Roller Set TYPE B ABB
000000000010000235,EN,Ball Mill Gearbox Assembly TYPE A WEIR
000000000010000236,EN,MCC Feeder Circuit Breaker 150MM SKF
000000000010000237,EN,Thickener Rake Drive Gearbox 55KW KSB
000000000010000238,EN,Crusher Hydroset Cylinder 6/4 SEW
000000000030000051,EN,Vertical Sump Pump Column 150MM SEW
000000000010000239,EN,Flotation Cell Impeller 200MM SIEMENS
000000000010000240,EN,Gland Packing Seal Ring 110KW SEW
000000000010000241,EN,Mill Liner 110KW METSO
000000000030000052,EN,Flow Meter Sensor Head TYPE A MULTOTEC
000000000010000242,EN,Conveyor Pulley Bearing 6/4 SIEMENS
000000000030000053,EN,Pump Impeller 250KW SKF
000000000010000243,EN,Ball Mill Trunnion Bearing 10/8 SKF
000000000080000058,EN,Vertical Sump Pump Column 200MM MULTOTEC
000000000010000244,EN,Belt Scraper Blade Cartridge DN100
000000000010000245,EN,Conveyor Idler Roller Set DN100 METSO
000000000010000246,EN,Mill Liner TYPE B MULTOTEC
000000000030000054,EN,Slurry Pump Wet End Assembly 6/4 WEIR
000000000030000055,EN,Screen Exciter Bearing DN150 SEW
000000000010000247,EN,Mill Lube Pump Motor 150MM KSB
000000000080000059,EN,Hydraulic Power Pack 110KW WEIR
000000000010000248,EN,Conveyor Drive Gearbox 150MM FLSM
000000000010000249,EN,Slurry Pump Mechanical Seal 8/6 SANDVIK
000000000010000250,EN,Level Radar Transmitter TYPE A MULTOTEC
000000000010000251,EN,Mill Liner 250KW METSO
000000000010000252,EN,Flotation Blower Motor 200MM FLSM
000000000010000253,EN,Thickener Rake Seal Kit TYPE A WEIR
000000000090000012,EN,Conveyor Drive Gearbox 110KW MULTOTEC
000000000010000254,EN,Soft Starter Power Module HD SANDVIK
000000000010000255,EN,Ventilation Fan Motor 200MM METSO
000000000090000013,EN,Mill Lube Pump Motor DN100 METSO
000000000080000060,EN,Conveyor Pulley Bearing HD SKF
000000000090000014,EN,Gearbox Bearing 6/4 SKF
000000000030000056,EN,Ball Mill Trunnion Bearing 10/8 SIEMENS
000000000010000256,EN,Thickener Rake Drive Gearbox 8/6 SIEMENS
000000000030000057,EN,Flow Meter Sensor Head 8/6 WEIR
000000000030000058,EN,Apron Feeder Gear Reducer 200MM KSB
000000000010000257,EN,Mill Liner 8/6 KSB
000000000010000258,EN,Centrifugal Pump Casing 55KW FLSM
000000000010000259,EN,Slurry Density Transmitter 110KW METSO
000000000010000260,EN,Conveyor Pulley Bearing 8/6 KSB
000000000080000061,EN,Hydraulic Pump Assembly DN150 METSO
000000000080000062,EN,Ball Mill Trunnion Bearing DN100 SEW
000000000080000063,EN,Spherical Roller Bearing HD KSB
000000000010000261,EN,Spherical Roller Bearing TYPE A METSO
000000000080000064,EN,Ball Mill Gearbox Assembly 10/8 METSO
000000000010000262,EN,Gearbox Bearing DN150 ABB
000000000010000263,EN,Flotation Blower Motor TYPE A SEW
000000000030000059,EN,Agitator Shaft Seal 55KW ABB
000000000010000264,EN,Thickener Rake Seal Kit DN100 ABB
000000000010000265,EN,Ball Mill Gearbox Assembly TYPE B METSO
000000000010000266,EN,Hydraulic Pump Assembly 6/4 MULTOTEC
000000000010000267,EN,Flotation Blower Motor 110KW KSB
000000000010000268,EN,Skirt Rubber Liner Section TYPE A FLSM
000000000010000269,EN,Thickener Rake Seal Kit 250MM SEW
000000000010000270,EN,Ball Mill Gearbox Assembly 110KW KSB
000000000010000271,EN,Ball Mill Shell Liner Plate DN150 FLSM
000000000010000272,EN,Slurry Density Transmitter HD SANDVIK
000000000010000273,EN,Conveyor Idler Roller Set 8/6 SIEMENS
000000000010000274,EN,Spherical Roller Bearing HD ABB
000000000080000065,EN,Spherical Roller Bearing TYPE A METSO
000000000010000275,EN,Conveyor Idler Roller Set 6/4 WEIR
000000000030000060,EN,Slurry Pump Wet End Assembly 55KW SKF
000000000030000061,EN,Gland Packing Seal Ring DN100 KSB
000000000080000066,EN,Agitator Shaft Seal 6/4 SEW
000000000010000276,EN,Vertical Sump Pump Column 150MM WEIR
000000000010000277,EN,Flotation Cell Impeller 8/6 SKF
000000000010000278,EN,Soft Starter Power Module 6/4 SKF
000000000010000279,EN,Soft Starter Power Module 250KW SANDVIK
000000000030000062,EN,Level Radar Transmitter 200MM FLSM
000000000010000280,EN,Hydraulic Pump Assembly 250MM ABB
000000000030000063,EN,Ball Mill Trunnion Bearing 250KW FLSM
000000000030000064,EN,Agitator Shaft Seal HD WEIR
000000000010000281,EN,Variable Speed Drive Unit 250MM ABB
000000000010000282,EN,Pump Impeller 55KW FLSM
000000000010000283,EN,Agitator Shaft Seal HD FLSM
000000000030000065,EN,Gearbox Bearing TYPE B SEW
000000000010000284,EN,Pump Impeller TYPE A FLSM
000000000010000285,EN,Screen Exciter Bearing TYPE A MULTOTEC
000000000080000067,EN,Skirt Rubber Liner Section 8/6 SIEMENS
000000000010000286,EN,Soft Starter Power Module TYPE B SKF
000000000080000068,EN,Pump Impeller TYPE B SKF
000000000080000069,EN,Slurry Pump Wet End Assembly HD WEIR
000000000090000015,EN,Slurry Density Transmitter 250MM KSB
000000000010000287,EN,Flotation Cell Impeller 200MM METSO
000000000080000070,EN,Hydraulic Power Pack 110KW SKF
000000000010000288,EN,Flow Meter Sensor Head 55KW SKF
000000000010000289,EN,Hydraulic Pump Assembly 6/4 METSO
000000000010000290,EN,Ball Mill Shell Liner Plate 110KW WEIR
000000000010000291,EN,Apron Feeder Gear Reducer 110KW SANDVIK
000000000010000292,EN,Mill Liner 110KW SKF
000000000080000071,EN,MCC Feeder Circuit Breaker 55KW SANDVIK
000000000080000072,EN,Crusher Hydroset Cylinder DN150 MULTOTEC
000000000010000293,EN,Spherical Roller Bearing TYPE B KSB
000000000080000073,EN,Crusher Hydroset Cylinder TYPE B ABB
000000000010000294,EN,Skirt Rubber Liner Section 250MM WEIR
000000000010000295,EN,Slurry Density Transmitter TYPE A WEIR
