id,material_code,description,material_group,material_type,plant,storage_location,unit_of_measure,criticality,lifecycle_status,service_code,manufacturer,manufacturer_part_no,last_po_price,last_vendor,stock_level,reorder_point,lead_time_days,repair_cost_factor,active,created_at,updated_at
11,500-10011,"Slip Ring Induction Motor, 110kW, 6-pole",Motors,Slip Ring Induction Motor,Gamsberg,GSB-PLANT-STORE,EA,CRITICAL,Active,,Karoo Electromechanical Works,MP-000011,153398.6,Upington Industrial Supplies (Pty) Ltd,17,11,14,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
12,500-10012,"Belt Scraper Blade Set, 1600mm width, tungsten tip",Conveyor Components,Belt Scraper Blade Set,BMM,BMM-MAIN-WH,SET,MEDIUM,Active,,Sutherland Valve Foundry,MP-000012,11925.64,Kuruman Bearing & Drive Co (Pty) Ltd,161,159,45,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
13,500-10013,"Vertical Sump Pump Shaft Assembly, Heavy duty slurry",Pumps,Vertical Sump Pump Shaft Assembly,Gamsberg,GSB-PLANT-STORE,EA,HIGH,Active,,Vaal Electromechanical Works,MP-000013,89967.42,Kalahari Industrial Supplies (Pty) Ltd,22,24,30,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
14,500-10014,"Motor Drive Coupling, elastomeric, rated for 30kW",Motors,Motor Drive Coupling,BMM,BMM-PLANT-STORE,EA,MEDIUM,Active,,Copperton Wear Parts Casting,MP-000014,20697.81,Namaqua Electromechanical Ltd (Pty) Ltd,36,41,10,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
15,500-10015,"Jaw Crusher Fixed Jaw Plate, standard, manganese steel",Crusher Components,Jaw Crusher Fixed Jaw Plate,Gamsberg,GSB-PLANT-STORE,EA,CRITICAL,Active,,Karoo Bearing Works,MP-000015,107800.53,Waterberg Mining Equipment Traders (Pty) Ltd,29,33,21,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
16,500-10016,"Tapered Roller Bearing 32025, 25mm bore",Bearings,Tapered Roller Bearing 320,BMM,BMM-PLANT-STORE,EA,MEDIUM,Active,,Escarpment Precision Engineering,MP-000016,4965.12,Namaqua Electromechanical Ltd (Pty) Ltd,32,29,30,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
17,500-10017,"Belt Scraper Blade Set, 1400mm width, tungsten tip",Conveyor Components,Belt Scraper Blade Set,Gamsberg,GSB-MAIN-WH,SET,MEDIUM,Active,,Vaal Pump Manufacturing,MP-000017,6248.27,Highveld Electromechanical Ltd (Pty) Ltd,212,209,30,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
18,500-10018,"Flotation Cell Impeller, small cell, rubber coated",Flotation Components,Flotation Cell Impeller,BMM,BMM-PLANT-STORE,EA,HIGH,Active,,Vaal Wear Parts Casting,MP-000018,25957.87,Copperton Pump Solutions (Pty) Ltd,7,11,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
19,500-10019,"Density Meter, nuclear, 25mm (1"") pipe",Instrumentation,Density Meter,Gamsberg,GSB-MAIN-WH,EA,CRITICAL,Active,,Bushveld Wear Parts Casting,MP-000019,100921.08,Sutherland Pump Solutions (Pty) Ltd,13,5,30,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
20,500-10020,"Flotation Cell Stator, large cell",Flotation Components,Flotation Cell Stator,BMM,BMM-PLANT-STORE,EA,HIGH,Obsolete,,Bushveld Seal Technologies,MP-000020,38472.44,Karoo Bearing & Drive Co (Pty) Ltd,34,35,30,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
21,500-10021,"Pillow Block Bearing Unit UCP240, 40mm shaft",Bearings,Pillow Block Bearing Unit UCP2,Gamsberg,GSB-MAIN-WH,EA,MEDIUM,Active,,Sutherland Wear Parts Casting,MP-000021,3859.85,Orange River Bearing & Drive Co (Pty) Ltd,20,18,30,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
22,500-10022,"Ball Mill Grinding Media, 80mm, forged steel balls",Milling Components,Ball Mill Grinding Media,BMM,BMM-MAIN-WH,TON,HIGH,Active,,Escarpment Electromechanical Works,MP-000022,23413.48,Postmasburg Electromechanical Ltd (Pty) Ltd,120,116,14,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
23,500-10023,"Motor Drive Coupling, elastomeric, rated for 90kW",Motors,Motor Drive Coupling,Gamsberg,GSB-MAIN-WH,EA,MEDIUM,Active,,Namaqua Seal Technologies,MP-000023,15650.47,Northern Cape Pump Solutions (Pty) Ltd,9,9,10,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
24,500-10024,"Seal Support System, API Plan 32, shaft 80mm",Mechanical Seals,Seal Support System,BMM,BMM-WORKSHOP-STORE,EA,HIGH,EOL,,Vaal Seal Technologies,MP-000024,78993.71,Upington Industrial Supplies (Pty) Ltd,3,0,60,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
25,500-10025,"Conveyor Belt, steel cord, 1600mm width",Conveyor Components,Conveyor Belt,Gamsberg,GSB-MAIN-WH,M,HIGH,Active,,Namaqua Pump Manufacturing,MP-000025,2041.82,Springbok Engineering Supplies (Pty) Ltd,364,356,10,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
26,500-10026,"Cone Crusher Mantle, extra-coarse profile",Crusher Components,Cone Crusher Mantle,BMM,BMM-MAIN-WH,EA,CRITICAL,Active,,Vaal Bearing Works,MP-000026,203970.03,Lowveld Engineering Supplies (Pty) Ltd,1,0,30,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
27,500-10027,"Gland Packing Set, shaft 50mm, PTFE impregnated",Mechanical Seals,Gland Packing Set,Gamsberg,GSB-MAIN-WH,SET,MEDIUM,Active,,Vaal Valve Foundry,MP-000027,1690.25,Aggeneys Spares & Components (Pty) Ltd,182,185,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
28,500-10028,"Variable Speed Drive, 30kW",Electrical Spares,Variable Speed Drive,BMM,BMM-PLANT-STORE,EA,CRITICAL,Active,,Karoo Valve Foundry,MP-000028,47986.1,Vaal Industrial Supplies (Pty) Ltd,22,16,10,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
29,500-10029,"Mechanical Seal, shaft 80mm, tungsten carbide faces",Mechanical Seals,Mechanical Seal,Gamsberg,GSB-PLANT-STORE,EA,HIGH,Active,,Copperton Electromechanical Works,MP-000029,25707.59,Kuruman Bearing & Drive Co (Pty) Ltd,25,18,21,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
30,80-10030,"Knife Gate Valve, 25mm (1""), rubber lined",Valves,Knife Gate Valve,BMM,BMM-MAIN-WH,EA,HIGH,Active,,Copperton Precision Engineering,MP-000030,71496.45,Waterberg Valve & Fittings (Pty) Ltd,8,6,14,0.303,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
31,500-10031,"Ball Valve, 25mm (1""), full bore, stainless trim",Valves,Ball Valve,Gamsberg,GSB-MINING-STORE,EA,MEDIUM,Active,,Karoo Wear Parts Casting,MP-000031,16787.84,Orange River Bearing & Drive Co (Pty) Ltd,38,34,45,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
32,500-10032,"Variable Speed Drive, 45kW",Electrical Spares,Variable Speed Drive,BMM,BMM-WORKSHOP-STORE,EA,CRITICAL,Active,,Copperton Valve Foundry,MP-000032,31239.66,Lowveld Valve & Fittings (Pty) Ltd,36,33,10,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
33,500-10033,"Motor Drive Coupling, elastomeric, rated for 75kW",Motors,Motor Drive Coupling,Gamsberg,GSB-MINING-STORE,EA,MEDIUM,Active,,Copperton Pump Manufacturing,MP-000033,11631.05,Lowveld Valve & Fittings (Pty) Ltd,6,8,60,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
34,80-10034,"Knife Gate Valve, 40mm (1.5""), rubber lined",Valves,Knife Gate Valve,BMM,BMM-MAIN-WH,EA,HIGH,Active,,Copperton Bearing Works,MP-000034,40152.3,Escarpment Mining Equipment Traders (Pty) Ltd,37,30,60,0.402,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
35,500-10035,"Impact Idler, 1400mm belt width, rubber disc",Conveyor Components,Impact Idler,Gamsberg,GSB-PLANT-STORE,EA,MEDIUM,Active,,Copperton Seal Technologies,MP-000035,2959.78,Kimberley Seals & Sealing Systems (Pty) Ltd,7,5,30,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
36,500-10036,"SAG Mill Liner Plate, head, chrome-moly steel",Milling Components,SAG Mill Liner Plate,BMM,BMM-MAIN-WH,EA,CRITICAL,Active,,Namaqua Precision Engineering,MP-000036,99203.32,Karoo Bearing & Drive Co (Pty) Ltd,11,13,14,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
37,80-10037,"Centrifugal Slurry Pump Impeller, Low-flow metering, hard metal",Pumps,Centrifugal Slurry Pump Impeller,Gamsberg,GSB-PLANT-STORE,EA,CRITICAL,Active,,Sutherland Pump Manufacturing,MP-000037,57687.14,Northern Cape Seals & Sealing Systems (Pty) Ltd,20,22,60,0.406,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
38,80-10038,"Mechanical Seal, shaft 50mm, tungsten carbide faces",Mechanical Seals,Mechanical Seal,BMM,BMM-MAIN-WH,EA,HIGH,Active,,Karoo Pump Manufacturing,MP-000038,61875.28,Lowveld Engineering Supplies (Pty) Ltd,24,20,45,0.401,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
39,500-10039,"Spherical Roller Bearing 22230, 30mm bore",Bearings,Spherical Roller Bearing 222,Gamsberg,GSB-MAIN-WH,EA,HIGH,Active,,Namaqua Wear Parts Casting,MP-000039,20197.07,Orange River Bearing & Drive Co (Pty) Ltd,26,25,10,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
40,500-10040,"Motor Drive Coupling, elastomeric, rated for 22kW",Motors,Motor Drive Coupling,BMM,BMM-MAIN-WH,EA,MEDIUM,EOL,,Karoo Precision Engineering,MP-000040,16510.64,Postmasburg Electromechanical Ltd (Pty) Ltd,32,27,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
41,500-10041,"Variable Speed Drive, 110kW",Electrical Spares,Variable Speed Drive,Gamsberg,GSB-MINING-STORE,EA,CRITICAL,Active,,Namaqua Electromechanical Works,MP-000041,277066.08,Aggeneys Mining Equipment Traders (Pty) Ltd,37,41,10,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
42,500-10042,"MCC Contactor, 65A, 3-pole",Electrical Spares,MCC Contactor,BMM,BMM-MAIN-WH,EA,HIGH,Active,,Sutherland Precision Engineering,MP-000042,6126.17,Postmasburg Electromechanical Ltd (Pty) Ltd,0,5,60,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
43,80-10043,"Ball Valve, 150mm (6""), full bore, stainless trim",Valves,Ball Valve,Gamsberg,GSB-MAIN-WH,EA,MEDIUM,Active,,Bushveld Precision Engineering,MP-000043,19686.65,Northern Cape Seals & Sealing Systems (Pty) Ltd,34,30,30,0.318,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
44,500-10044,"Density Meter, nuclear, 150mm (6"") pipe",Instrumentation,Density Meter,BMM,BMM-WORKSHOP-STORE,EA,CRITICAL,Active,,Escarpment Pump Manufacturing,MP-000044,165793.43,Kuruman Bearing & Drive Co (Pty) Ltd,1,0,14,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
45,500-10045,"Level Transmitter, ultrasonic, 0-5m range",Instrumentation,Level Transmitter,Gamsberg,GSB-PLANT-STORE,EA,HIGH,Obsolete,,Bushveld Bearing Works,MP-000045,20280.46,Karoo Pump Solutions (Pty) Ltd,4,0,21,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
46,500-10046,"Cone Crusher Concave Ring, fine profile",Crusher Components,Cone Crusher Concave Ring,BMM,BMM-WORKSHOP-STORE,EA,CRITICAL,Active,,Highveld Electromechanical Works,MP-000046,195129.53,Sutherland Pump Solutions (Pty) Ltd,9,11,10,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
47,500-10047,"Pillow Block Bearing Unit UCP220, 20mm shaft",Bearings,Pillow Block Bearing Unit UCP2,Gamsberg,GSB-MINING-STORE,EA,MEDIUM,EOL,,Sutherland Bearing Works,MP-000047,4514.23,Springbok Engineering Supplies (Pty) Ltd,9,7,45,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
48,500-10048,"Belt Scraper Blade Set, 1200mm width, tungsten tip",Conveyor Components,Belt Scraper Blade Set,BMM,BMM-PLANT-STORE,SET,MEDIUM,Active,,Namaqua Bearing Works,MP-000048,14074.23,Drakensberg Valve & Fittings (Pty) Ltd,199,191,45,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
49,500-10049,"Vertical Sump Pump Shaft Assembly, Light duty",Pumps,Vertical Sump Pump Shaft Assembly,Gamsberg,GSB-MINING-STORE,EA,HIGH,Active,,Sutherland Seal Technologies,MP-000049,87033.81,Northern Cape Seals & Sealing Systems (Pty) Ltd,23,16,30,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
50,80-10050,"Butterfly Valve, 80mm (3""), wafer type",Valves,Butterfly Valve,BMM,BMM-PLANT-STORE,EA,MEDIUM,Obsolete,,Sutherland Electromechanical Works,MP-000050,8988.32,Postmasburg Electromechanical Ltd (Pty) Ltd,25,27,21,0.39,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
51,80-10051,"Mill Trunnion Bearing Liner, discharge end",Milling Components,Mill Trunnion Bearing Liner,Gamsberg,GSB-MAIN-WH,EA,CRITICAL,Active,,Highveld Seal Technologies,MP-000051,142107.21,Bushveld Industrial Supplies (Pty) Ltd,1,0,10,0.433,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
52,500-10052,"Jaw Crusher Fixed Jaw Plate, high-manganese, manganese steel",Crusher Components,Jaw Crusher Fixed Jaw Plate,BMM,BMM-WORKSHOP-STORE,EA,CRITICAL,Active,,Namaqua Valve Foundry,MP-000052,55587.4,Northern Cape Seals & Sealing Systems (Pty) Ltd,0,0,30,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
53,500-10053,"Gland Packing Set, shaft 38mm, PTFE impregnated",Mechanical Seals,Gland Packing Set,Gamsberg,GSB-MAIN-WH,SET,MEDIUM,Active,,Escarpment Bearing Works,MP-000053,2536.74,Karoo Electromechanical Ltd (Pty) Ltd,139,137,45,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
54,500-10054,"Deep Groove Ball Bearing 6275-2RS, 75mm bore",Bearings,Deep Groove Ball Bearing 62-2RS,BMM,BMM-PLANT-STORE,EA,HIGH,Active,,Escarpment Valve Foundry,MP-000054,2354.16,Lowveld Valve & Fittings (Pty) Ltd,6,3,60,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
55,500-10055,"Power Cable, XLPE armoured, 4-core 16mm2",Electrical Spares,Power Cable,Gamsberg,GSB-MINING-STORE,M,MEDIUM,Active,,Vaal Precision Engineering,MP-000055,216.54,Aggeneys Bearing & Drive Co (Pty) Ltd,338,338,60,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
56,500-10056,"MCC Contactor, 225A, 3-pole",Electrical Spares,MCC Contactor,BMM,BMM-MAIN-WH,EA,HIGH,EOL,,Highveld Valve Foundry,MP-000056,11880.3,Sutherland Pump Solutions (Pty) Ltd,27,31,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
57,500-10057,"Conveyor Belt, steel cord, 800mm width",Conveyor Components,Conveyor Belt,Gamsberg,GSB-MINING-STORE,M,HIGH,Active,,Bushveld Valve Foundry,MP-000057,1270.98,Kuruman Bearing & Drive Co (Pty) Ltd,79,78,14,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
58,80-10058,"Pinch Valve, 100mm (4""), slurry service",Valves,Pinch Valve,BMM,BMM-WORKSHOP-STORE,EA,HIGH,Active,,Highveld Pump Manufacturing,MP-000058,68515.72,Namaqua Spares & Components (Pty) Ltd,21,19,14,0.388,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
59,80-10059,"TEFC Induction Motor, 110kW, 4-pole, IE3",Motors,TEFC Induction Motor,Gamsberg,GSB-PLANT-STORE,EA,HIGH,Active,,Highveld Precision Engineering,MP-000059,81022.51,Bushveld Electromechanical Ltd (Pty) Ltd,15,14,30,0.371,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
60,500-10060,"Circuit Breaker, MCCB, 630A",Electrical Spares,Circuit Breaker,BMM,BMM-PLANT-STORE,EA,HIGH,Active,,Karoo Seal Technologies,MP-000060,14858.11,Upington Industrial Supplies (Pty) Ltd,34,31,30,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
61,500-10061,"Belt Scraper Blade Set, 1000mm width, tungsten tip",Conveyor Components,Belt Scraper Blade Set,Gamsberg,GSB-MINING-STORE,SET,MEDIUM,Active,,Bushveld Electromechanical Works,MP-000061,12834.69,Kalahari Industrial Supplies (Pty) Ltd,353,358,10,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
62,500-10062,"Troughing Idler Set, 1400mm belt width, 3-roll",Conveyor Components,Troughing Idler Set,BMM,BMM-PLANT-STORE,EA,MEDIUM,Active,,Escarpment Wear Parts Casting,MP-000062,3595.95,Waterberg Mining Equipment Traders (Pty) Ltd,6,5,21,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
63,500-10063,"TEFC Induction Motor, 30kW, 4-pole, IE3",Motors,TEFC Induction Motor,Gamsberg,GSB-MINING-STORE,EA,HIGH,Active,,Highveld Bearing Works,MP-000063,127476.52,Northern Cape Seals & Sealing Systems (Pty) Ltd,27,22,60,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
64,500-10064,"Deep Groove Ball Bearing 6225-2RS, 25mm bore",Bearings,Deep Groove Ball Bearing 62-2RS,BMM,BMM-PLANT-STORE,EA,HIGH,Obsolete,,Escarpment Seal Technologies,MP-000064,1483.15,Namaqua Electromechanical Ltd (Pty) Ltd,20,18,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
65,500-10065,"TEFC Induction Motor, 15kW, 4-pole, IE3",Motors,TEFC Induction Motor,Gamsberg,GSB-MAIN-WH,EA,HIGH,Obsolete,,Highveld Wear Parts Casting,MP-000065,136595.1,Copperton Pump Solutions (Pty) Ltd,28,33,45,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
66,500-10066,"Variable Speed Drive, 22kW",Electrical Spares,Variable Speed Drive,BMM,BMM-PLANT-STORE,EA,CRITICAL,Active,,Bushveld Pump Manufacturing,MP-000066,100585.15,Kalahari Industrial Supplies (Pty) Ltd,2,0,45,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
67,500-10067,"Variable Speed Drive, 15kW",Electrical Spares,Variable Speed Drive,Gamsberg,GSB-MINING-STORE,EA,CRITICAL,Active,,Karoo Electromechanical Works,MP-000067,32247.1,Kuruman Bearing & Drive Co (Pty) Ltd,1,0,30,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
68,500-10068,"Troughing Idler Set, 650mm belt width, 3-roll",Conveyor Components,Troughing Idler Set,BMM,BMM-PLANT-STORE,EA,MEDIUM,Active,,Sutherland Valve Foundry,MP-000068,4995.11,Northern Cape Seals & Sealing Systems (Pty) Ltd,12,15,14,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
69,500-10069,"Deep Groove Ball Bearing 6230-2RS, 30mm bore",Bearings,Deep Groove Ball Bearing 62-2RS,Gamsberg,GSB-MAIN-WH,EA,HIGH,EOL,,Vaal Electromechanical Works,MP-000069,1498.74,Kimberley Valve & Fittings (Pty) Ltd,15,19,60,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
70,80-10070,"Jaw Crusher Fixed Jaw Plate, wave-profile, manganese steel",Crusher Components,Jaw Crusher Fixed Jaw Plate,BMM,BMM-MAIN-WH,EA,CRITICAL,Active,,Copperton Wear Parts Casting,MP-000070,27566.56,Postmasburg Spares & Components (Pty) Ltd,37,42,21,0.405,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
71,500-10071,"Conveyor Belt, steel cord, 1000mm width",Conveyor Components,Conveyor Belt,Gamsberg,GSB-PLANT-STORE,M,HIGH,Active,,Karoo Bearing Works,MP-000071,2011.12,Drakensberg Valve & Fittings (Pty) Ltd,483,486,21,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
72,500-10072,"Vertical Sump Pump Shaft Assembly, High-head",Pumps,Vertical Sump Pump Shaft Assembly,BMM,BMM-PLANT-STORE,EA,HIGH,Active,,Escarpment Precision Engineering,MP-000072,88610.6,Northern Cape Pump Solutions (Pty) Ltd,39,34,10,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
73,500-10073,"Flotation Cell Impeller, medium cell, rubber coated",Flotation Components,Flotation Cell Impeller,Gamsberg,GSB-MINING-STORE,EA,HIGH,Active,,Vaal Pump Manufacturing,MP-000073,34618.76,Aggeneys Bearing & Drive Co (Pty) Ltd,7,11,30,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
74,500-10074,"Seal Support System, API Plan 32, shaft 25mm",Mechanical Seals,Seal Support System,BMM,BMM-WORKSHOP-STORE,EA,HIGH,Active,,Vaal Wear Parts Casting,MP-000074,59090.26,Springbok Engineering Supplies (Pty) Ltd,21,25,10,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
75,500-10075,"TEFC Induction Motor, 22kW, 4-pole, IE3",Motors,TEFC Induction Motor,Gamsberg,GSB-MAIN-WH,EA,HIGH,Active,,Bushveld Wear Parts Casting,MP-000075,80484.54,Sutherland Pump Solutions (Pty) Ltd,28,23,10,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
76,80-10076,"Butterfly Valve, 40mm (1.5""), wafer type",Valves,Butterfly Valve,BMM,BMM-PLANT-STORE,EA,MEDIUM,Active,,Bushveld Seal Technologies,MP-000076,21237.88,Waterberg Mining Equipment Traders (Pty) Ltd,7,9,60,0.318,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
77,500-10077,"TEFC Induction Motor, 90kW, 4-pole, IE3",Motors,TEFC Induction Motor,Gamsberg,GSB-MAIN-WH,EA,HIGH,Active,,Sutherland Wear Parts Casting,MP-000077,155153.73,Northern Cape Seals & Sealing Systems (Pty) Ltd,30,34,21,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
