id,tracking_id,stage,status,quantity,actor_id,source,note,timestamp
52,UTL-2026-1012,PLAN_CREATED,COMPLETED,1.0,1,synthetic_seed,Consumption plan captured (procurement leg).,2025-09-28T07:00:00+00:00
53,UTL-2026-1012,DUPLICATE_CHECK,COMPLETED,,1,synthetic_seed,Duplicate-demand check completed -- no existing unused stock found.,2025-09-28T07:00:00+00:00
54,UTL-2026-1012,CONSUMED,COMPLETED,1.0,1,synthetic_seed,Routine PM consumption.,2025-10-01T09:00:00+00:00
55,UTL-2026-1013,PLAN_CREATED,COMPLETED,1.0,7,synthetic_seed,Consumption plan captured (procurement leg).,2025-11-27T07:00:00+00:00
56,UTL-2026-1013,DUPLICATE_CHECK,COMPLETED,,7,synthetic_seed,Duplicate-demand check completed -- no existing unused stock found.,2025-11-27T07:00:00+00:00
57,UTL-2026-1013,CONSUMED,COMPLETED,1.0,7,synthetic_seed,Routine PM consumption.,2025-11-30T09:00:00+00:00
58,UTL-2026-1014,PLAN_CREATED,COMPLETED,1.0,9,synthetic_seed,Consumption plan captured (procurement leg).,2026-01-26T07:00:00+00:00
59,UTL-2026-1014,DUPLICATE_CHECK,COMPLETED,,9,synthetic_seed,Duplicate-demand check completed -- no existing unused stock found.,2026-01-26T07:00:00+00:00
60,UTL-2026-1014,CONSUMED,COMPLETED,1.0,9,synthetic_seed,Routine PM consumption.,2026-01-29T09:00:00+00:00
61,UTL-2026-1015,PLAN_CREATED,COMPLETED,1.0,10,synthetic_seed,Consumption plan captured (procurement leg).,2026-03-27T07:00:00+00:00
62,UTL-2026-1015,DUPLICATE_CHECK,COMPLETED,,10,synthetic_seed,Duplicate-demand check completed -- no existing unused stock found.,2026-03-27T07:00:00+00:00
63,UTL-2026-1015,CONSUMED,COMPLETED,1.0,10,synthetic_seed,Routine PM consumption.,2026-03-30T09:00:00+00:00
64,UTL-2026-1016,PLAN_CREATED,COMPLETED,1.0,14,synthetic_seed,Consumption plan captured (procurement leg).,2026-05-26T07:00:00+00:00
65,UTL-2026-1016,DUPLICATE_CHECK,COMPLETED,,14,synthetic_seed,Duplicate-demand check completed -- no existing unused stock found.,2026-05-26T07:00:00+00:00
66,UTL-2026-1016,CONSUMED,COMPLETED,1.0,14,synthetic_seed,Routine PM consumption.,2026-05-29T09:00:00+00:00
67,UTL-2026-1017,PLAN_CREATED,COMPLETED,1.0,9,synthetic_seed,Consumption plan captured (procurement leg).,2026-07-16T07:00:00+00:00
68,UTL-2026-1017,DUPLICATE_CHECK,COMPLETED,,9,synthetic_seed,Duplicate-demand check completed -- no existing unused stock found.,2026-07-16T07:00:00+00:00
69,UTL-2026-1018,PLAN_CREATED,COMPLETED,1.0,14,synthetic_seed,Consumption plan captured (procurement leg).,2026-06-11T07:00:00+00:00
70,UTL-2026-1018,DUPLICATE_CHECK,COMPLETED,,14,synthetic_seed,Duplicate-demand check completed -- no existing unused stock found.,2026-06-11T07:00:00+00:00
71,UTL-2026-1019,HISTORICAL_IMPORT,COMPLETED,,,system,Historical / No Original Consumption Plan -- aged using goods-receipt date plus category grace period.,2026-08-27T08:00:58.203541+00:00
72,UTL-2026-1005,REDEPLOYMENT_ACCEPTED,COMPLETED,1.0,1,manual,"Transfer recommendation accepted -- purchase avoided (est. R26,241.14).",2026-08-27T08:01:41.953179+00:00
73,UTL-2026-1008,CONSUMED,COMPLETED,2.0,1,manual,Confirmed via smoke test,2026-08-27T08:01:55.118263+00:00
74,UTL-2026-1009,REPLANNED,COMPLETED,,1,manual,Re-planned from 2026-08-26 to 2026-09-30.,2026-08-27T08:01:55.483861+00:00
75,UTL-2026-1009,REPLAN_REASON,COMPLETED,,1,manual,Reason: Equipment not available,2026-08-27T08:01:55.485305+00:00
76,UTL-2026-1010,RELEASED,COMPLETED,1.0,1,manual,Reason: No longer required. Released for redeployment -- awaiting SAP action by inventory personnel.,2026-08-27T08:01:55.850042+00:00
77,UTL-2026-1020,PLAN_CREATED,COMPLETED,1.0,1,chat_assistant,Consumption plan captured (procurement leg).,2026-08-27T08:07:54.747307+00:00
78,UTL-2026-1020,DUPLICATE_CHECK,COMPLETED,,1,chat_assistant,Duplicate-demand check completed -- no existing unused stock found.,2026-08-27T08:07:54.751297+00:00
79,UTL-2026-1021,PLAN_CREATED,COMPLETED,1.0,1,chat_assistant,Consumption plan captured (procurement leg).,2026-08-27T08:09:11.806785+00:00
80,UTL-2026-1021,DUPLICATE_CHECK,COMPLETED,,1,chat_assistant,Duplicate-demand check completed -- no existing unused stock found.,2026-08-27T08:09:11.808075+00:00
81,UTL-2026-1009,CONSUMED,COMPLETED,3.0,1,manual,Requester confirmed consumption.,2026-08-27T08:26:33.682502+00:00
82,UTL-2026-1006,REDEPLOYMENT_ACCEPTED,COMPLETED,2.0,1,manual,"Use Existing recommendation accepted -- purchase avoided (est. R4,814.48).",2026-08-27T08:27:11.173947+00:00
83,UTL-2026-1022,PLAN_CREATED,COMPLETED,1.0,1,chat_assistant,Consumption plan captured (procurement leg).,2026-08-27T08:31:02.192163+00:00
84,UTL-2026-1022,DUPLICATE_CHECK,COMPLETED,,1,chat_assistant,Duplicate-demand check completed -- no existing unused stock found.,2026-08-27T08:31:02.194477+00:00
85,UTL-2026-1019,CONSUMED,COMPLETED,3.0,1,manual,Consumed,2026-08-27T08:52:09.996779+00:00
86,UTL-2026-1023,PLAN_CREATED,COMPLETED,9.0,1,chat_assistant,Consumption plan captured (procurement leg).,2026-08-27T08:54:02.755656+00:00
87,UTL-2026-1023,DUPLICATE_CHECK,COMPLETED,,1,chat_assistant,Duplicate-demand check completed -- no existing unused stock found.,2026-08-27T08:54:02.764786+00:00
88,UTL-2026-1002,MANUAL_ISSUE_MATCHED,COMPLETED,2.0,1,manual,"Unreferenced goods issue (2 units, Gamsberg) matched and confirmed by inventory control.",2026-08-27T08:55:47.829175+00:00
89,UTL-2026-1024,PLAN_CREATED,COMPLETED,6.0,1,chat_assistant,Consumption plan captured (procurement leg).,2026-08-27T12:11:01.096391+00:00
90,UTL-2026-1024,DUPLICATE_CHECK,COMPLETED,,1,chat_assistant,Duplicate-demand check completed -- no existing unused stock found.,2026-08-27T12:11:01.100446+00:00
