id,rr_id,line_number,material_id,quantity,estimated_unit_price,service_code,description,quality_status
56,20,3,128,5.0,6348.96,,"Spherical Roller Bearing 22290, 90mm bore",OK
57,20,4,55,11.0,301.11,,"Power Cable, XLPE armoured, 4-core 16mm2",OK
58,20,5,132,1.0,41391.64,,"Diaphragm Dosing Pump Head Assembly, High-head",OK
59,20,6,166,18.0,233976.83,,"Variable Speed Drive, 7.5kW",OK
60,20,7,158,19.0,9682.03,,misc parts,VAGUE_DESCRIPTION
61,20,8,23,6.0,18045.1,,"Motor Drive Coupling, elastomeric, rated for 90kW",OK
62,21,1,200,18.0,26704.7,,"Froth Paddle Assembly, small cell",OK
63,22,1,161,20.0,15734.77,,"Pressure Transmitter, 0-100 bar range, 4-20mA",OK
64,22,2,158,20.0,9939.59,,"Motor Drive Coupling, elastomeric, rated for 45kW",OK
65,23,1,217,13.0,40842.63,,Ins Service - contracted field technician,MISSING_SERVICE_CODE
66,23,2,206,8.0,7193.08,SVC-REP-01,Rep Service - contracted field technician,OK
67,24,1,193,17.0,2470.53,,"Ball Valve, 50mm (2""), full bore, stainless trim",OK
68,25,1,212,5.0,8499.12,SVC-CAL-01,Cal Service - contracted field technician,OK
69,25,2,218,5.0,15442.1,,Ref Service - contracted field technician,MISSING_SERVICE_CODE
70,25,3,213,12.0,32131.55,SVC-CAL-02,Cal Service - contracted field technician,OK
71,26,1,213,11.0,33979.89,SVC-CAL-02,Cal Service - contracted field technician,OK
72,26,2,207,8.0,41526.14,SVC-REP-02,Rep Service - contracted field technician,OK
73,27,1,10,19.0,27357.6,,"Froth Paddle Assembly, large cell",OK
74,28,1,218,17.0,18414.23,SVC-REF-01,Ref Service - contracted field technician,OK
75,28,2,220,6.0,13329.55,SVC-REF-03,items per attached list,VAGUE_DESCRIPTION
76,28,3,215,8.0,28211.17,SVC-INS-01,Ins Service - contracted field technician,OK
77,29,1,66,9.0,162625.37,,"Variable Speed Drive, 22kW",OK
78,29,2,87,16.0,50383.52,,"Flotation Cell Impeller, tank cell, rubber coated",OK
79,30,1,181,6.0,92130.22,,"Seal Support System, API Plan 32, shaft 65mm",OK
80,30,2,143,16.0,20548.06,,"MCC Contactor, 150A, 3-pole",OK
81,30,3,35,17.0,3860.22,,"Impact Idler, 1400mm belt width, rubber disc",OK
82,31,1,136,20.0,4026.38,,"Troughing Idler Set, 800mm belt width, 3-roll",MISSING_SERVICE_CODE
83,31,2,130,5.0,14236.3,,"Butterfly Valve, 200mm (8""), wafer type",OK
84,31,3,179,16.0,38625.7,,"Jaw Crusher Fixed Jaw Plate, corrugated, manganese steel",OK
85,32,1,62,18.0,2487.87,,"Troughing Idler Set, 1400mm belt width, 3-roll",OK
86,32,2,147,9.0,208973.55,,"Cone Crusher Concave Ring, extra-coarse profile",OK
87,32,3,117,2.0,20515.29,,"Spherical Roller Bearing 22275, 75mm bore",OK
88,33,1,212,5.0,7749.68,SVC-CAL-01,Cal Service - contracted field technician,OK
89,33,2,217,19.0,36679.68,SVC-INS-03,Ins Service - contracted field technician,OK
90,33,3,206,18.0,7835.06,SVC-REP-01,misc parts,VAGUE_DESCRIPTION
91,34,1,116,13.0,117091.62,,"Slip Ring Induction Motor, 55kW, 6-pole",OK
92,35,1,69,12.0,1907.26,,"Deep Groove Ball Bearing 6230-2RS, 30mm bore",OK
93,35,2,200,13.0,27187.82,,"Froth Paddle Assembly, small cell",MISSING_SERVICE_CODE
94,35,3,56,7.0,5010.6,,"MCC Contactor, 225A, 3-pole",OK
95,36,1,78,14.0,54240.43,,"Flotation Cell Stator, tank cell",OK
96,37,1,103,16.0,33067.25,,"Diaphragm Dosing Pump Head Assembly, Light duty",OK
97,37,2,115,19.0,20666.3,,"Ball Mill Grinding Media, 100mm, forged steel balls",OK
98,37,3,66,16.0,145153.48,,"Variable Speed Drive, 22kW",OK
99,38,1,61,9.0,13227.23,,"Belt Scraper Blade Set, 1000mm width, tungsten tip",OK
100,38,2,92,2.0,70793.02,,"Pinch Valve, 40mm (1.5""), slurry service",OK
101,38,3,14,11.0,11411.65,,"Motor Drive Coupling, elastomeric, rated for 30kW",OK
102,39,1,108,3.0,38705.33,,"Spherical Roller Bearing 22235, 35mm bore",OK
103,39,2,28,13.0,141027.78,,"Variable Speed Drive, 30kW",OK
104,40,1,96,5.0,23090.19,,"Circuit Breaker, MCCB, 100A",OK
105,41,1,198,13.0,64325.07,,"Knife Gate Valve, 80mm (3""), rubber lined",OK
106,42,1,136,4.0,4428.83,,"Troughing Idler Set, 800mm belt width, 3-roll",OK
107,43,1,204,17.0,74871.08,,misc parts,VAGUE_DESCRIPTION
108,43,2,136,15.0,4482.29,,"Troughing Idler Set, 800mm belt width, 3-roll",OK
109,44,1,140,17.0,2924.74,,"Gland Packing Set, shaft 25mm, PTFE impregnated",OK
110,44,2,135,16.0,42182.11,,"Level Transmitter, ultrasonic, 0-20m range",OK
111,45,1,150,4.0,989.59,,"Conveyor Belt, steel cord, 1400mm width",OK
112,45,2,68,6.0,2946.22,,"Troughing Idler Set, 650mm belt width, 3-roll",OK
113,46,1,81,17.0,33923.67,,"Seal Support System, API Plan 32, shaft 50mm",OK
114,46,2,142,14.0,69660.25,,"Seal Support System, API Plan 32, shaft 100mm",OK
115,46,3,78,6.0,53300.83,,"Flotation Cell Stator, tank cell",OK
116,47,1,191,1.0,29060.95,,"Spherical Roller Bearing 22260, 60mm bore",OK
117,47,2,6,8.0,19636.13,,"MCC Contactor, 95A, 3-pole",OK
118,47,3,144,19.0,74256.34,,"TEFC Induction Motor, 7.5kW, 4-pole, IE3",OK
119,48,1,110,10.0,3632.22,,"Deep Groove Ball Bearing 6220-2RS, 20mm bore",OK
120,49,1,93,18.0,66282.51,,"Pinch Valve, 150mm (6""), slurry service",OK
121,49,2,60,2.0,14199.83,,"Circuit Breaker, MCCB, 630A",OK
122,50,1,182,4.0,2250.08,,"Impact Idler, 1600mm belt width, rubber disc",OK
123,50,2,189,13.0,72216.75,,"Flow Meter, magnetic, 40mm (1.5"")",MISSING_SERVICE_CODE
124,51,1,141,11.0,8640.4,,"Tapered Roller Bearing 32020, 20mm bore",OK
125,51,2,196,4.0,4415.11,,"Impact Idler, 800mm belt width, rubber disc",OK
126,52,1,123,2.0,21552.58,,"Motor Drive Coupling, elastomeric, rated for 15kW",OK
127,52,2,171,20.0,6165.83,,"Motor Drive Coupling, elastomeric, rated for 11kW",OK
128,52,3,121,1.0,42206.21,,"Circuit Breaker, MCCB, 250A",OK
129,53,1,78,3.0,57367.85,,"Flotation Cell Stator, tank cell",OK
130,54,1,69,8.0,1905.93,,"Deep Groove Ball Bearing 6230-2RS, 30mm bore",OK
131,54,2,94,11.0,7560.41,,"Pillow Block Bearing Unit UCP230, 30mm shaft",OK
132,54,3,134,2.0,52388.71,,"Pinch Valve, 50mm (2""), slurry service",OK
133,55,1,189,10.0,68602.35,,"Flow Meter, magnetic, 40mm (1.5"")",OK
134,56,1,62,8.0,2425.24,,"Troughing Idler Set, 1400mm belt width, 3-roll",OK
135,57,1,12,9.0,15853.77,,"Belt Scraper Blade Set, 1600mm width, tungsten tip",OK
136,57,2,61,10.0,15126.74,,"Belt Scraper Blade Set, 1000mm width, tungsten tip",OK
137,57,3,45,20.0,35027.32,,"Level Transmitter, ultrasonic, 0-5m range",OK
138,58,1,79,19.0,68566.29,,"Flotation Cell Stator, small cell",OK
139,59,1,141,12.0,7120.98,,"Tapered Roller Bearing 32020, 20mm bore",OK
140,59,2,26,8.0,329190.19,,"Cone Crusher Mantle, extra-coarse profile",OK
141,59,3,73,4.0,55841.35,,"Flotation Cell Impeller, medium cell, rubber coated",OK
142,60,1,146,13.0,1672.07,,"Deep Groove Ball Bearing 6260-2RS, 60mm bore",OK
143,60,2,41,11.0,254391.35,,"Variable Speed Drive, 110kW",OK
144,61,1,210,8.0,9273.86,SVC-INS-02,Ins Service - contracted field technician,OK
145,61,2,220,19.0,13322.98,SVC-REF-03,Ref Service - contracted field technician,OK
146,61,3,207,16.0,37278.03,,Rep Service - contracted field technician,MISSING_SERVICE_CODE
147,62,1,18,7.0,82165.15,,"Flotation Cell Impeller, small cell, rubber coated",OK
148,62,2,91,14.0,194.14,,"Power Cable, XLPE armoured, 4-core 70mm2",OK
149,62,3,149,11.0,35477.19,,"Spherical Roller Bearing 22225, 25mm bore",OK
150,63,1,217,19.0,43636.92,SVC-INS-03,Ins Service - contracted field technician,OK
151,64,1,184,12.0,46547.94,,"Diaphragm Dosing Pump Head Assembly, Medium duty",OK
152,65,1,37,12.0,65798.88,,"Centrifugal Slurry Pump Impeller, Low-flow metering, hard metal",OK
153,65,2,162,9.0,1361.66,,"Pillow Block Bearing Unit UCP290, 90mm shaft",OK
154,65,3,109,12.0,5526.95,,"Troughing Idler Set, 1200mm belt width, 3-roll",OK
155,66,1,18,5.0,94519.49,,"Flotation Cell Impeller, small cell, rubber coated",OK
156,67,1,136,8.0,4280.4,,"Troughing Idler Set, 800mm belt width, 3-roll",OK
157,68,1,85,18.0,92669.24,,"Cone Crusher Mantle, fine profile",OK
158,69,1,39,5.0,31250.03,,"Spherical Roller Bearing 22230, 30mm bore",OK
159,70,1,183,18.0,5384.88,,"Pillow Block Bearing Unit UCP235, 35mm shaft",OK
160,70,2,175,7.0,2052.24,,"Impact Idler, 650mm belt width, rubber disc",OK
161,70,3,44,15.0,195567.27,,"Density Meter, nuclear, 150mm (6"") pipe",OK
162,71,1,170,20.0,29004.97,,"Spherical Roller Bearing 22220, 20mm bore",OK
163,71,2,136,5.0,4604.46,,"Troughing Idler Set, 800mm belt width, 3-roll",OK
164,71,3,133,14.0,115962.84,,"TEFC Induction Motor, 11kW, 4-pole, IE3",OK
165,72,1,94,14.0,6495.45,,"Pillow Block Bearing Unit UCP230, 30mm shaft",OK
166,72,2,158,3.0,11420.37,,"Motor Drive Coupling, elastomeric, rated for 45kW",OK
167,72,3,33,10.0,12503.43,,"Motor Drive Coupling, elastomeric, rated for 75kW",OK
168,72,4,135,19.0,37683.83,,"Level Transmitter, ultrasonic, 0-20m range",OK
169,72,5,76,16.0,13435.42,,"Butterfly Valve, 40mm (1.5""), wafer type",OK
170,72,6,139,17.0,5030.75,,"Tapered Roller Bearing 32075, 75mm bore",MISSING_SERVICE_CODE
171,72,7,126,8.0,4100.9,,"Gland Packing Set, shaft 80mm, PTFE impregnated",OK
172,72,8,198,16.0,67066.75,,"Knife Gate Valve, 80mm (3""), rubber lined",OK
173,72,9,144,7.0,64258.66,,"TEFC Induction Motor, 7.5kW, 4-pole, IE3",OK
174,73,1,56,16.0,4302.27,,"MCC Contactor, 225A, 3-pole",OK
175,73,2,169,14.0,168470.14,,"TEFC Induction Motor, 45kW, 4-pole, IE3",OK
176,73,3,52,16.0,81501.49,,"Jaw Crusher Fixed Jaw Plate, high-manganese, manganese steel",OK
177,74,1,184,7.0,39139.8,,"Diaphragm Dosing Pump Head Assembly, Medium duty",OK
178,74,2,180,12.0,16415.23,,"Pressure Transmitter, 0-40 bar range, 4-20mA",OK
179,74,3,106,20.0,2902.0,,"Deep Groove Ball Bearing 6235-2RS, 35mm bore",OK
180,75,1,160,16.0,983.08,,"Deep Groove Ball Bearing 6290-2RS, 90mm bore",OK
181,75,2,95,15.0,2559.37,,"Tapered Roller Bearing 32050, 50mm bore",OK
182,75,3,173,7.0,19895.49,,"Spherical Roller Bearing 22240, 40mm bore",MISSING_SERVICE_CODE
183,76,1,193,11.0,2375.77,,"Ball Valve, 50mm (2""), full bore, stainless trim",MISSING_SERVICE_CODE
184,77,1,126,8.0,4168.51,,"Gland Packing Set, shaft 80mm, PTFE impregnated",OK
185,77,2,187,13.0,20735.28,,"Ball Mill Grinding Media, 40mm, forged steel balls",OK
186,78,1,44,2.0,189768.25,,"Density Meter, nuclear, 150mm (6"") pipe",OK
187,78,2,16,3.0,9846.0,,"Tapered Roller Bearing 32025, 25mm bore",OK
188,78,3,181,13.0,88655.8,,"Seal Support System, API Plan 32, shaft 65mm",OK
189,79,1,112,19.0,51205.67,,"Diaphragm Dosing Pump Head Assembly, Low-flow metering",OK
190,79,2,40,17.0,5459.61,,"Motor Drive Coupling, elastomeric, rated for 22kW",OK
191,79,3,159,18.0,55849.81,,"Pinch Valve, 80mm (3""), slurry service",OK
192,80,1,19,7.0,143983.89,,"Density Meter, nuclear, 25mm (1"") pipe",OK
193,80,2,10,19.0,25674.44,,"Froth Paddle Assembly, large cell",OK
194,81,1,44,17.0,184062.74,,"Density Meter, nuclear, 150mm (6"") pipe",OK
195,81,2,173,11.0,19081.77,,"Spherical Roller Bearing 22240, 40mm bore",OK
196,81,3,60,3.0,15047.56,,"Circuit Breaker, MCCB, 630A",OK
197,82,1,132,7.0,43867.29,,"Diaphragm Dosing Pump Head Assembly, High-head",OK
198,82,2,115,9.0,21186.52,,"Ball Mill Grinding Media, 100mm, forged steel balls",OK
199,82,3,106,17.0,2474.78,,"Deep Groove Ball Bearing 6235-2RS, 35mm bore",OK
200,83,1,84,13.0,91588.02,,"SAG Mill Liner Plate, shell, chrome-moly steel",OK
201,83,2,162,13.0,1504.42,,"Pillow Block Bearing Unit UCP290, 90mm shaft",OK
202,84,1,209,4.0,27382.52,SVC-INS-01,Ins Service - contracted field technician,OK
203,85,1,74,11.0,84805.28,,spares as required,VAGUE_DESCRIPTION
204,85,2,28,2.0,143478.76,,"Variable Speed Drive, 30kW",OK
205,86,1,99,18.0,199405.56,,"Cone Crusher Mantle, coarse profile",OK
206,86,2,29,4.0,47562.48,,"Mechanical Seal, shaft 80mm, tungsten carbide faces",OK
207,86,3,46,6.0,295463.9,,"Cone Crusher Concave Ring, fine profile",OK
208,87,1,105,2.0,12135.03,,"Belt Scraper Blade Set, 650mm width, tungsten tip",OK
209,88,1,210,5.0,8895.5,SVC-INS-02,Ins Service - contracted field technician,OK
210,88,2,213,12.0,31326.29,SVC-CAL-02,Cal Service - contracted field technician,OK
211,89,1,103,6.0,37390.85,,"Diaphragm Dosing Pump Head Assembly, Light duty",OK
212,89,2,1,15.0,132204.17,,"Density Meter, nuclear, 200mm (8"") pipe",OK
213,90,1,205,16.0,43105.39,,"Centrifugal Slurry Pump Casing Liner, Light duty",OK
214,91,1,54,14.0,730.91,,"Deep Groove Ball Bearing 6275-2RS, 75mm bore",OK
215,91,2,185,12.0,1022.28,,"Power Cable, XLPE armoured, 4-core 35mm2",MISSING_SERVICE_CODE
216,91,3,176,6.0,5789.16,,"Gland Packing Set, shaft 65mm, PTFE impregnated",OK
217,92,1,51,3.0,299473.26,,"Mill Trunnion Bearing Liner, discharge end",OK
218,92,2,178,9.0,3590.0,,"Butterfly Valve, 25mm (1""), wafer type",OK
219,92,3,124,4.0,106617.76,,"Slip Ring Induction Motor, 15kW, 6-pole",OK
220,92,4,53,18.0,1201.93,,"Gland Packing Set, shaft 38mm, PTFE impregnated",OK
221,92,5,75,12.0,17615.78,,"TEFC Induction Motor, 22kW, 4-pole, IE3",OK
222,92,6,120,8.0,89566.62,,"Density Meter, nuclear, 50mm (2"") pipe",OK
223,92,7,196,17.0,4767.51,,"Impact Idler, 800mm belt width, rubber disc",OK
224,93,1,98,1.0,16002.31,,"Level Transmitter, ultrasonic, 0-15m range",OK
225,94,1,210,12.0,9406.27,SVC-INS-02,Ins Service - contracted field technician,OK
226,94,2,207,6.0,39274.26,SVC-REP-02,misc parts,VAGUE_DESCRIPTION
227,94,3,213,11.0,28997.87,SVC-CAL-02,Cal Service - contracted field technician,OK
228,95,1,83,13.0,60852.71,,"SAG Mill Liner Plate, discharge grate, chrome-moly steel",OK
229,95,2,65,6.0,47984.19,,"TEFC Induction Motor, 15kW, 4-pole, IE3",OK
230,95,3,46,9.0,263372.93,,"Cone Crusher Concave Ring, fine profile",OK
231,95,4,187,14.0,23399.85,,"Ball Mill Grinding Media, 40mm, forged steel balls",OK
232,95,5,196,12.0,4610.73,,"Impact Idler, 800mm belt width, rubber disc",OK
233,96,1,145,18.0,77144.21,,"Vertical Sump Pump Shaft Assembly, Medium duty",OK
234,97,1,90,20.0,1264.69,,"Conveyor Belt, steel cord, 650mm width",OK
235,97,2,26,14.0,316217.36,,"Cone Crusher Mantle, extra-coarse profile",OK
236,97,3,17,2.0,10795.98,,"Belt Scraper Blade Set, 1400mm width, tungsten tip",OK
237,98,1,202,14.0,131432.8,,"Flow Meter, magnetic, 80mm (3"")",OK
238,98,2,38,2.0,16022.82,,"Mechanical Seal, shaft 50mm, tungsten carbide faces",OK
239,99,1,211,4.0,39087.56,SVC-INS-03,Ins Service - contracted field technician,OK
240,99,2,207,1.0,40311.9,SVC-REP-02,Rep Service - contracted field technician,OK
241,100,1,52,6.0,93139.1,,"Jaw Crusher Fixed Jaw Plate, high-manganese, manganese steel",OK
242,100,2,17,20.0,9993.08,,"Belt Scraper Blade Set, 1400mm width, tungsten tip",OK
243,101,1,122,5.0,1717.53,,"Deep Groove Ball Bearing 6240-2RS, 40mm bore",OK
244,101,2,148,11.0,204322.02,,"Cone Crusher Concave Ring, coarse profile",OK
245,101,3,23,2.0,17697.0,,"Motor Drive Coupling, elastomeric, rated for 90kW",OK
246,101,4,44,14.0,174890.28,,"Density Meter, nuclear, 150mm (6"") pipe",MISSING_SERVICE_CODE
247,101,5,10,12.0,26739.07,,"Froth Paddle Assembly, large cell",MISSING_SERVICE_CODE
248,101,6,96,9.0,22485.64,,"Circuit Breaker, MCCB, 100A",OK
249,101,7,180,5.0,18898.8,,"Pressure Transmitter, 0-40 bar range, 4-20mA",OK
250,101,8,160,10.0,927.44,,"Deep Groove Ball Bearing 6290-2RS, 90mm bore",OK
251,101,9,110,6.0,3276.41,,"Deep Groove Ball Bearing 6220-2RS, 20mm bore",OK
252,102,1,151,11.0,20433.05,,"Mechanical Seal, shaft 38mm, tungsten carbide faces",OK
253,103,1,72,4.0,99164.9,,"Vertical Sump Pump Shaft Assembly, High-head",OK
254,103,2,81,2.0,36052.06,,"Seal Support System, API Plan 32, shaft 50mm",OK
255,104,1,38,20.0,16687.7,,"Mechanical Seal, shaft 50mm, tungsten carbide faces",OK
256,104,2,118,16.0,29059.24,,"Spherical Roller Bearing 22217, 17mm bore",OK
257,104,3,37,15.0,66560.41,,"Centrifugal Slurry Pump Impeller, Low-flow metering, hard metal",OK
258,105,1,206,7.0,6723.83,,Rep Service - contracted field technician,MISSING_SERVICE_CODE
259,105,2,219,1.0,35695.01,SVC-REF-02,spares as required,VAGUE_DESCRIPTION
260,105,3,220,13.0,13811.08,SVC-REF-03,Ref Service - contracted field technician,OK
261,105,4,220,10.0,13976.68,SVC-REF-03,Ref Service - contracted field technician,OK
262,105,5,209,10.0,27798.59,SVC-INS-01,Ins Service - contracted field technician,OK
263,105,6,212,19.0,9052.18,SVC-CAL-01,Cal Service - contracted field technician,OK
264,105,7,211,9.0,39134.27,SVC-INS-03,Ins Service - contracted field technician,OK
265,105,8,216,11.0,30916.45,SVC-INS-02,Ins Service - contracted field technician,OK
266,105,9,210,3.0,9420.47,SVC-INS-02,Ins Service - contracted field technician,OK
267,105,10,208,7.0,10273.93,SVC-REP-03,Rep Service - contracted field technician,OK
268,105,11,219,5.0,31764.39,SVC-REF-02,Ref Service - contracted field technician,OK
269,105,12,214,8.0,16093.63,SVC-CAL-03,Cal Service - contracted field technician,OK
270,106,1,13,5.0,26394.93,,"Vertical Sump Pump Shaft Assembly, Heavy duty slurry",OK
271,106,2,42,1.0,15178.36,,"MCC Contactor, 65A, 3-pole",OK
272,106,3,137,14.0,20029.26,,misc parts,VAGUE_DESCRIPTION
273,107,1,46,13.0,270791.44,,"Cone Crusher Concave Ring, fine profile",MISSING_SERVICE_CODE
274,107,2,29,14.0,50049.37,,"Mechanical Seal, shaft 80mm, tungsten carbide faces",OK
275,108,1,207,7.0,42995.62,SVC-REP-02,Rep Service - contracted field technician,OK
276,109,1,207,17.0,37430.01,SVC-REP-02,Rep Service - contracted field technician,OK
277,109,2,211,18.0,33829.11,SVC-INS-03,Ins Service - contracted field technician,OK
278,109,3,212,14.0,8801.67,SVC-CAL-01,Cal Service - contracted field technician,OK
279,110,1,143,20.0,20755.86,,"MCC Contactor, 150A, 3-pole",OK
280,110,2,37,12.0,69418.23,,"Centrifugal Slurry Pump Impeller, Low-flow metering, hard metal",OK
281,110,3,118,4.0,34199.29,,"Spherical Roller Bearing 22217, 17mm bore",OK
282,111,1,181,20.0,95963.58,,spares as required,VAGUE_DESCRIPTION
283,111,2,69,12.0,1772.03,,"Deep Groove Ball Bearing 6230-2RS, 30mm bore",OK
284,111,3,157,4.0,148400.49,,spares as required,VAGUE_DESCRIPTION
285,112,1,152,17.0,24099.74,,"Butterfly Valve, 150mm (6""), wafer type",OK
286,112,2,79,9.0,60356.19,,"Flotation Cell Stator, small cell",OK
287,112,3,103,9.0,36091.19,,"Diaphragm Dosing Pump Head Assembly, Light duty",OK
288,113,1,93,15.0,75792.85,,"Pinch Valve, 150mm (6""), slurry service",OK
289,113,2,77,17.0,58616.5,,"TEFC Induction Motor, 90kW, 4-pole, IE3",OK
290,113,3,45,4.0,31954.53,,"Level Transmitter, ultrasonic, 0-5m range",OK
291,114,1,76,5.0,12097.58,,"Butterfly Valve, 40mm (1.5""), wafer type",OK
292,114,2,185,18.0,1053.38,,as discussed,VAGUE_DESCRIPTION
293,114,3,20,12.0,52123.37,,"Flotation Cell Stator, large cell",OK
294,115,1,193,14.0,2481.42,,"Ball Valve, 50mm (2""), full bore, stainless trim",OK
295,115,2,148,1.0,207085.26,,as discussed,VAGUE_DESCRIPTION
296,116,1,19,2.0,146941.67,,"Density Meter, nuclear, 25mm (1"") pipe",OK
297,116,2,69,4.0,1805.74,,"Deep Groove Ball Bearing 6230-2RS, 30mm bore",OK
298,117,1,51,19.0,299277.5,,"Mill Trunnion Bearing Liner, discharge end",OK
299,118,1,115,10.0,24825.63,,"Ball Mill Grinding Media, 100mm, forged steel balls",OK
300,119,1,219,14.0,29772.43,SVC-REF-02,Ref Service - contracted field technician,OK
301,119,2,208,20.0,11020.24,,Rep Service - contracted field technician,MISSING_SERVICE_CODE
302,119,3,220,16.0,14403.93,SVC-REF-03,Ref Service - contracted field technician,OK
303,120,1,195,12.0,30007.66,,"Froth Paddle Assembly, tank cell",OK
304,120,2,113,19.0,181085.47,,"Centrifugal Slurry Pump Impeller, Heavy duty slurry, hard metal",OK
305,120,3,90,5.0,1329.14,,"Conveyor Belt, steel cord, 650mm width",OK
306,121,1,59,4.0,64190.81,,"TEFC Induction Motor, 110kW, 4-pole, IE3",OK
307,122,1,102,12.0,164295.9,,"Centrifugal Slurry Pump Impeller, Light duty, hard metal",OK
308,123,1,110,5.0,3051.98,,"Deep Groove Ball Bearing 6220-2RS, 20mm bore",OK
