id,pr_id,material_id,quantity,unit_price,service_code,description,line_status,quality_flags
57,19,218,5.0,15442.1,,Ref Service - contracted field technician,OPEN,MISSING_SERVICE_CODE
58,19,213,12.0,32131.55,SVC-CAL-02,Cal Service - contracted field technician,OPEN,
59,20,213,11.0,33979.89,SVC-CAL-02,Cal Service - contracted field technician,OPEN,
60,20,207,8.0,41526.14,SVC-REP-02,Rep Service - contracted field technician,OPEN,
61,21,10,19.0,27357.6,,"Froth Paddle Assembly, large cell",OPEN,
62,22,218,17.0,18414.23,SVC-REF-01,Ref Service - contracted field technician,OPEN,
63,22,220,6.0,13329.55,SVC-REF-03,items per attached list,OPEN,VAGUE_DESCRIPTION
64,22,215,8.0,28211.17,SVC-INS-01,Ins Service - contracted field technician,OPEN,
65,23,66,9.0,162625.37,,"Variable Speed Drive, 22kW",OPEN,
66,23,87,16.0,50383.52,,"Flotation Cell Impeller, tank cell, rubber coated",OPEN,
67,24,181,6.0,92130.22,,"Seal Support System, API Plan 32, shaft 65mm",OPEN,
68,24,143,16.0,20548.06,,"MCC Contactor, 150A, 3-pole",OPEN,
69,24,35,17.0,3860.22,,"Impact Idler, 1400mm belt width, rubber disc",OPEN,
70,25,136,20.0,4026.38,,"Troughing Idler Set, 800mm belt width, 3-roll",OPEN,MISSING_SERVICE_CODE
71,25,130,5.0,14236.3,,"Butterfly Valve, 200mm (8""), wafer type",OPEN,
72,25,179,16.0,38625.7,,"Jaw Crusher Fixed Jaw Plate, corrugated, manganese steel",OPEN,
73,26,62,18.0,2487.87,,"Troughing Idler Set, 1400mm belt width, 3-roll",OPEN,
74,26,147,9.0,208973.55,,"Cone Crusher Concave Ring, extra-coarse profile",OPEN,
75,26,117,2.0,20515.29,,"Spherical Roller Bearing 22275, 75mm bore",OPEN,
76,27,212,5.0,7749.68,SVC-CAL-01,Cal Service - contracted field technician,OPEN,
77,27,217,19.0,36679.68,SVC-INS-03,Ins Service - contracted field technician,OPEN,
78,27,206,18.0,7835.06,SVC-REP-01,misc parts,OPEN,VAGUE_DESCRIPTION
79,28,116,13.0,117091.62,,"Slip Ring Induction Motor, 55kW, 6-pole",OPEN,
80,29,78,14.0,54240.43,,"Flotation Cell Stator, tank cell",OPEN,
81,30,61,9.0,13227.23,,"Belt Scraper Blade Set, 1000mm width, tungsten tip",OPEN,
82,30,92,2.0,70793.02,,"Pinch Valve, 40mm (1.5""), slurry service",OPEN,
83,30,14,11.0,11411.65,,"Motor Drive Coupling, elastomeric, rated for 30kW",OPEN,
84,31,108,3.0,38705.33,,"Spherical Roller Bearing 22235, 35mm bore",OPEN,
85,31,28,13.0,141027.78,,"Variable Speed Drive, 30kW",OPEN,
86,32,96,5.0,23090.19,,"Circuit Breaker, MCCB, 100A",OPEN,
87,33,198,13.0,64325.07,,"Knife Gate Valve, 80mm (3""), rubber lined",OPEN,
88,34,136,4.0,4428.83,,"Troughing Idler Set, 800mm belt width, 3-roll",OPEN,
89,35,204,17.0,74871.08,,misc parts,OPEN,VAGUE_DESCRIPTION
90,35,136,15.0,4482.29,,"Troughing Idler Set, 800mm belt width, 3-roll",OPEN,
91,36,140,17.0,2924.74,,"Gland Packing Set, shaft 25mm, PTFE impregnated",OPEN,
92,36,135,16.0,42182.11,,"Level Transmitter, ultrasonic, 0-20m range",OPEN,
93,37,150,4.0,989.59,,"Conveyor Belt, steel cord, 1400mm width",OPEN,
94,37,68,6.0,2946.22,,"Troughing Idler Set, 650mm belt width, 3-roll",OPEN,
95,38,81,17.0,33923.67,,"Seal Support System, API Plan 32, shaft 50mm",OPEN,
96,38,142,14.0,69660.25,,"Seal Support System, API Plan 32, shaft 100mm",OPEN,
97,38,78,6.0,53300.83,,"Flotation Cell Stator, tank cell",OPEN,
98,39,191,1.0,29060.95,,"Spherical Roller Bearing 22260, 60mm bore",OPEN,
99,39,6,8.0,19636.13,,"MCC Contactor, 95A, 3-pole",OPEN,
100,39,144,19.0,74256.34,,"TEFC Induction Motor, 7.5kW, 4-pole, IE3",OPEN,
101,40,110,10.0,3632.22,,"Deep Groove Ball Bearing 6220-2RS, 20mm bore",OPEN,
102,41,93,18.0,66282.51,,"Pinch Valve, 150mm (6""), slurry service",OPEN,
103,41,60,2.0,14199.83,,"Circuit Breaker, MCCB, 630A",OPEN,
104,42,182,4.0,2250.08,,"Impact Idler, 1600mm belt width, rubber disc",OPEN,
105,42,189,13.0,72216.75,,"Flow Meter, magnetic, 40mm (1.5"")",OPEN,MISSING_SERVICE_CODE
106,43,141,11.0,8640.4,,"Tapered Roller Bearing 32020, 20mm bore",OPEN,
107,43,196,4.0,4415.11,,"Impact Idler, 800mm belt width, rubber disc",OPEN,
108,44,123,2.0,21552.58,,"Motor Drive Coupling, elastomeric, rated for 15kW",OPEN,
109,44,171,20.0,6165.83,,"Motor Drive Coupling, elastomeric, rated for 11kW",OPEN,
110,44,121,1.0,42206.21,,"Circuit Breaker, MCCB, 250A",OPEN,
111,45,78,3.0,57367.85,,"Flotation Cell Stator, tank cell",OPEN,
112,46,69,8.0,1905.93,,"Deep Groove Ball Bearing 6230-2RS, 30mm bore",OPEN,
113,46,94,11.0,7560.41,,"Pillow Block Bearing Unit UCP230, 30mm shaft",OPEN,
114,46,134,2.0,52388.71,,"Pinch Valve, 50mm (2""), slurry service",OPEN,
115,47,189,10.0,68602.35,,"Flow Meter, magnetic, 40mm (1.5"")",OPEN,
116,48,62,8.0,2425.24,,"Troughing Idler Set, 1400mm belt width, 3-roll",OPEN,
117,49,12,9.0,15853.77,,"Belt Scraper Blade Set, 1600mm width, tungsten tip",OPEN,
118,49,61,10.0,15126.74,,"Belt Scraper Blade Set, 1000mm width, tungsten tip",OPEN,
119,49,45,20.0,35027.32,,"Level Transmitter, ultrasonic, 0-5m range",OPEN,
120,50,79,19.0,68566.29,,"Flotation Cell Stator, small cell",OPEN,
121,51,141,12.0,7120.98,,"Tapered Roller Bearing 32020, 20mm bore",OPEN,
122,51,26,8.0,329190.19,,"Cone Crusher Mantle, extra-coarse profile",OPEN,
123,51,73,4.0,55841.35,,"Flotation Cell Impeller, medium cell, rubber coated",OPEN,
124,52,210,8.0,9273.86,SVC-INS-02,Ins Service - contracted field technician,OPEN,
125,52,220,19.0,13322.98,SVC-REF-03,Ref Service - contracted field technician,OPEN,
126,52,207,16.0,37278.03,,Rep Service - contracted field technician,OPEN,MISSING_SERVICE_CODE
127,53,18,7.0,82165.15,,"Flotation Cell Impeller, small cell, rubber coated",OPEN,
128,53,91,14.0,194.14,,"Power Cable, XLPE armoured, 4-core 70mm2",OPEN,
129,53,149,11.0,35477.19,,"Spherical Roller Bearing 22225, 25mm bore",OPEN,
130,54,217,19.0,43636.92,SVC-INS-03,Ins Service - contracted field technician,OPEN,
131,55,184,12.0,46547.94,,"Diaphragm Dosing Pump Head Assembly, Medium duty",OPEN,
132,56,37,12.0,65798.88,,"Centrifugal Slurry Pump Impeller, Low-flow metering, hard metal",OPEN,
133,56,162,9.0,1361.66,,"Pillow Block Bearing Unit UCP290, 90mm shaft",OPEN,
134,56,109,12.0,5526.95,,"Troughing Idler Set, 1200mm belt width, 3-roll",OPEN,
135,57,18,5.0,94519.49,,"Flotation Cell Impeller, small cell, rubber coated",OPEN,
136,58,136,8.0,4280.4,,"Troughing Idler Set, 800mm belt width, 3-roll",OPEN,
137,59,85,18.0,92669.24,,"Cone Crusher Mantle, fine profile",OPEN,
138,60,39,5.0,31250.03,,"Spherical Roller Bearing 22230, 30mm bore",OPEN,
139,61,183,18.0,5384.88,,"Pillow Block Bearing Unit UCP235, 35mm shaft",OPEN,
140,61,175,7.0,2052.24,,"Impact Idler, 650mm belt width, rubber disc",OPEN,
141,61,44,15.0,195567.27,,"Density Meter, nuclear, 150mm (6"") pipe",OPEN,
142,62,170,20.0,29004.97,,"Spherical Roller Bearing 22220, 20mm bore",OPEN,
143,62,136,5.0,4604.46,,"Troughing Idler Set, 800mm belt width, 3-roll",OPEN,
144,62,133,14.0,115962.84,,"TEFC Induction Motor, 11kW, 4-pole, IE3",OPEN,
145,63,94,14.0,6495.45,,"Pillow Block Bearing Unit UCP230, 30mm shaft",OPEN,
146,63,158,3.0,11420.37,,"Motor Drive Coupling, elastomeric, rated for 45kW",OPEN,
147,63,33,10.0,12503.43,,"Motor Drive Coupling, elastomeric, rated for 75kW",OPEN,
148,63,135,19.0,37683.83,,"Level Transmitter, ultrasonic, 0-20m range",OPEN,
149,63,76,16.0,13435.42,,"Butterfly Valve, 40mm (1.5""), wafer type",OPEN,
150,63,139,17.0,5030.75,,"Tapered Roller Bearing 32075, 75mm bore",OPEN,MISSING_SERVICE_CODE
151,63,126,8.0,4100.9,,"Gland Packing Set, shaft 80mm, PTFE impregnated",OPEN,
152,63,198,16.0,67066.75,,"Knife Gate Valve, 80mm (3""), rubber lined",OPEN,
153,63,144,7.0,64258.66,,"TEFC Induction Motor, 7.5kW, 4-pole, IE3",OPEN,
154,64,56,16.0,4302.27,,"MCC Contactor, 225A, 3-pole",OPEN,
155,64,169,14.0,168470.14,,"TEFC Induction Motor, 45kW, 4-pole, IE3",OPEN,
156,64,52,16.0,81501.49,,"Jaw Crusher Fixed Jaw Plate, high-manganese, manganese steel",OPEN,
157,65,184,7.0,39139.8,,"Diaphragm Dosing Pump Head Assembly, Medium duty",OPEN,
158,65,180,12.0,16415.23,,"Pressure Transmitter, 0-40 bar range, 4-20mA",OPEN,
159,65,106,20.0,2902.0,,"Deep Groove Ball Bearing 6235-2RS, 35mm bore",OPEN,
160,66,160,16.0,983.08,,"Deep Groove Ball Bearing 6290-2RS, 90mm bore",OPEN,
161,66,95,15.0,2559.37,,"Tapered Roller Bearing 32050, 50mm bore",OPEN,
162,66,173,7.0,19895.49,,"Spherical Roller Bearing 22240, 40mm bore",OPEN,MISSING_SERVICE_CODE
163,67,193,11.0,2375.77,,"Ball Valve, 50mm (2""), full bore, stainless trim",OPEN,MISSING_SERVICE_CODE
164,68,126,8.0,4168.51,,"Gland Packing Set, shaft 80mm, PTFE impregnated",OPEN,
165,68,187,13.0,20735.28,,"Ball Mill Grinding Media, 40mm, forged steel balls",OPEN,
166,69,44,2.0,189768.25,,"Density Meter, nuclear, 150mm (6"") pipe",OPEN,
167,69,16,3.0,9846.0,,"Tapered Roller Bearing 32025, 25mm bore",OPEN,
168,69,181,13.0,88655.8,,"Seal Support System, API Plan 32, shaft 65mm",OPEN,
169,70,112,19.0,51205.67,,"Diaphragm Dosing Pump Head Assembly, Low-flow metering",OPEN,
170,70,40,17.0,5459.61,,"Motor Drive Coupling, elastomeric, rated for 22kW",OPEN,
171,70,159,18.0,55849.81,,"Pinch Valve, 80mm (3""), slurry service",OPEN,
172,71,19,7.0,143983.89,,"Density Meter, nuclear, 25mm (1"") pipe",OPEN,
173,71,10,19.0,25674.44,,"Froth Paddle Assembly, large cell",OPEN,
174,72,44,17.0,184062.74,,"Density Meter, nuclear, 150mm (6"") pipe",OPEN,
175,72,173,11.0,19081.77,,"Spherical Roller Bearing 22240, 40mm bore",OPEN,
176,72,60,3.0,15047.56,,"Circuit Breaker, MCCB, 630A",OPEN,
177,73,132,7.0,43867.29,,"Diaphragm Dosing Pump Head Assembly, High-head",OPEN,
178,73,115,9.0,21186.52,,"Ball Mill Grinding Media, 100mm, forged steel balls",OPEN,
179,73,106,17.0,2474.78,,"Deep Groove Ball Bearing 6235-2RS, 35mm bore",OPEN,
180,74,84,13.0,91588.02,,"SAG Mill Liner Plate, shell, chrome-moly steel",OPEN,
181,74,162,13.0,1504.42,,"Pillow Block Bearing Unit UCP290, 90mm shaft",OPEN,
182,75,209,4.0,27382.52,SVC-INS-01,Ins Service - contracted field technician,OPEN,
183,76,74,11.0,84805.28,,spares as required,OPEN,VAGUE_DESCRIPTION
184,76,28,2.0,143478.76,,"Variable Speed Drive, 30kW",OPEN,
185,77,99,18.0,199405.56,,"Cone Crusher Mantle, coarse profile",OPEN,
186,77,29,4.0,47562.48,,"Mechanical Seal, shaft 80mm, tungsten carbide faces",OPEN,
187,77,46,6.0,295463.9,,"Cone Crusher Concave Ring, fine profile",OPEN,
188,78,105,2.0,12135.03,,"Belt Scraper Blade Set, 650mm width, tungsten tip",OPEN,
189,79,210,5.0,8895.5,SVC-INS-02,Ins Service - contracted field technician,OPEN,
190,79,213,12.0,31326.29,SVC-CAL-02,Cal Service - contracted field technician,OPEN,
191,80,103,6.0,37390.85,,"Diaphragm Dosing Pump Head Assembly, Light duty",OPEN,
192,80,1,15.0,132204.17,,"Density Meter, nuclear, 200mm (8"") pipe",OPEN,
193,81,54,14.0,730.91,,"Deep Groove Ball Bearing 6275-2RS, 75mm bore",OPEN,
194,81,185,12.0,1022.28,,"Power Cable, XLPE armoured, 4-core 35mm2",OPEN,MISSING_SERVICE_CODE
195,81,176,6.0,5789.16,,"Gland Packing Set, shaft 65mm, PTFE impregnated",OPEN,
196,82,51,3.0,299473.26,,"Mill Trunnion Bearing Liner, discharge end",OPEN,
197,82,178,9.0,3590.0,,"Butterfly Valve, 25mm (1""), wafer type",OPEN,
198,82,124,4.0,106617.76,,"Slip Ring Induction Motor, 15kW, 6-pole",OPEN,
199,82,53,18.0,1201.93,,"Gland Packing Set, shaft 38mm, PTFE impregnated",OPEN,
200,82,75,12.0,17615.78,,"TEFC Induction Motor, 22kW, 4-pole, IE3",OPEN,
201,82,120,8.0,89566.62,,"Density Meter, nuclear, 50mm (2"") pipe",OPEN,
202,82,196,17.0,4767.51,,"Impact Idler, 800mm belt width, rubber disc",OPEN,
203,83,98,1.0,16002.31,,"Level Transmitter, ultrasonic, 0-15m range",OPEN,
204,84,210,12.0,9406.27,SVC-INS-02,Ins Service - contracted field technician,OPEN,
205,84,207,6.0,39274.26,SVC-REP-02,misc parts,OPEN,VAGUE_DESCRIPTION
206,84,213,11.0,28997.87,SVC-CAL-02,Cal Service - contracted field technician,OPEN,
207,85,83,13.0,60852.71,,"SAG Mill Liner Plate, discharge grate, chrome-moly steel",OPEN,
208,85,65,6.0,47984.19,,"TEFC Induction Motor, 15kW, 4-pole, IE3",OPEN,
209,85,46,9.0,263372.93,,"Cone Crusher Concave Ring, fine profile",OPEN,
210,85,187,14.0,23399.85,,"Ball Mill Grinding Media, 40mm, forged steel balls",OPEN,
211,85,196,12.0,4610.73,,"Impact Idler, 800mm belt width, rubber disc",OPEN,
212,86,145,18.0,77144.21,,"Vertical Sump Pump Shaft Assembly, Medium duty",OPEN,
213,87,90,20.0,1264.69,,"Conveyor Belt, steel cord, 650mm width",OPEN,
214,87,26,14.0,316217.36,,"Cone Crusher Mantle, extra-coarse profile",OPEN,
215,87,17,2.0,10795.98,,"Belt Scraper Blade Set, 1400mm width, tungsten tip",OPEN,
216,88,202,14.0,131432.8,,"Flow Meter, magnetic, 80mm (3"")",OPEN,
217,88,38,2.0,16022.82,,"Mechanical Seal, shaft 50mm, tungsten carbide faces",OPEN,
218,89,211,4.0,39087.56,SVC-INS-03,Ins Service - contracted field technician,OPEN,
219,89,207,1.0,40311.9,SVC-REP-02,Rep Service - contracted field technician,OPEN,
220,90,52,6.0,93139.1,,"Jaw Crusher Fixed Jaw Plate, high-manganese, manganese steel",OPEN,
221,90,17,20.0,9993.08,,"Belt Scraper Blade Set, 1400mm width, tungsten tip",OPEN,
222,91,122,5.0,1717.53,,"Deep Groove Ball Bearing 6240-2RS, 40mm bore",OPEN,
223,91,148,11.0,204322.02,,"Cone Crusher Concave Ring, coarse profile",OPEN,
224,91,23,2.0,17697.0,,"Motor Drive Coupling, elastomeric, rated for 90kW",OPEN,
225,91,44,14.0,174890.28,,"Density Meter, nuclear, 150mm (6"") pipe",OPEN,MISSING_SERVICE_CODE
226,91,10,12.0,26739.07,,"Froth Paddle Assembly, large cell",OPEN,MISSING_SERVICE_CODE
227,91,96,9.0,22485.64,,"Circuit Breaker, MCCB, 100A",OPEN,
228,91,180,5.0,18898.8,,"Pressure Transmitter, 0-40 bar range, 4-20mA",OPEN,
229,91,160,10.0,927.44,,"Deep Groove Ball Bearing 6290-2RS, 90mm bore",OPEN,
230,91,110,6.0,3276.41,,"Deep Groove Ball Bearing 6220-2RS, 20mm bore",OPEN,
231,92,151,11.0,20433.05,,"Mechanical Seal, shaft 38mm, tungsten carbide faces",OPEN,
232,93,38,20.0,16687.7,,"Mechanical Seal, shaft 50mm, tungsten carbide faces",OPEN,
233,93,118,16.0,29059.24,,"Spherical Roller Bearing 22217, 17mm bore",OPEN,
234,93,37,15.0,66560.41,,"Centrifugal Slurry Pump Impeller, Low-flow metering, hard metal",OPEN,
235,94,206,7.0,6723.83,,Rep Service - contracted field technician,OPEN,MISSING_SERVICE_CODE
236,94,219,1.0,35695.01,SVC-REF-02,spares as required,OPEN,VAGUE_DESCRIPTION
237,94,220,13.0,13811.08,SVC-REF-03,Ref Service - contracted field technician,OPEN,
238,94,220,10.0,13976.68,SVC-REF-03,Ref Service - contracted field technician,OPEN,
239,94,209,10.0,27798.59,SVC-INS-01,Ins Service - contracted field technician,OPEN,
240,94,212,19.0,9052.18,SVC-CAL-01,Cal Service - contracted field technician,OPEN,
241,94,211,9.0,39134.27,SVC-INS-03,Ins Service - contracted field technician,OPEN,
242,94,216,11.0,30916.45,SVC-INS-02,Ins Service - contracted field technician,OPEN,
243,94,210,3.0,9420.47,SVC-INS-02,Ins Service - contracted field technician,OPEN,
244,94,208,7.0,10273.93,SVC-REP-03,Rep Service - contracted field technician,OPEN,
245,94,219,5.0,31764.39,SVC-REF-02,Ref Service - contracted field technician,OPEN,
246,94,214,8.0,16093.63,SVC-CAL-03,Cal Service - contracted field technician,OPEN,
247,95,13,5.0,26394.93,,"Vertical Sump Pump Shaft Assembly, Heavy duty slurry",OPEN,
248,95,42,1.0,15178.36,,"MCC Contactor, 65A, 3-pole",OPEN,
249,95,137,14.0,20029.26,,misc parts,OPEN,VAGUE_DESCRIPTION
250,96,46,13.0,270791.44,,"Cone Crusher Concave Ring, fine profile",OPEN,MISSING_SERVICE_CODE
251,96,29,14.0,50049.37,,"Mechanical Seal, shaft 80mm, tungsten carbide faces",OPEN,
252,97,207,7.0,42995.62,SVC-REP-02,Rep Service - contracted field technician,OPEN,
253,98,143,20.0,20755.86,,"MCC Contactor, 150A, 3-pole",OPEN,
254,98,37,12.0,69418.23,,"Centrifugal Slurry Pump Impeller, Low-flow metering, hard metal",OPEN,
255,98,118,4.0,34199.29,,"Spherical Roller Bearing 22217, 17mm bore",OPEN,
256,99,181,20.0,95963.58,,spares as required,OPEN,VAGUE_DESCRIPTION
257,99,69,12.0,1772.03,,"Deep Groove Ball Bearing 6230-2RS, 30mm bore",OPEN,
258,99,157,4.0,148400.49,,spares as required,OPEN,VAGUE_DESCRIPTION
259,100,152,17.0,24099.74,,"Butterfly Valve, 150mm (6""), wafer type",OPEN,
260,100,79,9.0,60356.19,,"Flotation Cell Stator, small cell",OPEN,
261,100,103,9.0,36091.19,,"Diaphragm Dosing Pump Head Assembly, Light duty",OPEN,
262,101,93,15.0,75792.85,,"Pinch Valve, 150mm (6""), slurry service",OPEN,
263,101,77,17.0,58616.5,,"TEFC Induction Motor, 90kW, 4-pole, IE3",OPEN,
264,101,45,4.0,31954.53,,"Level Transmitter, ultrasonic, 0-5m range",OPEN,
265,102,76,5.0,12097.58,,"Butterfly Valve, 40mm (1.5""), wafer type",OPEN,
266,102,185,18.0,1053.38,,as discussed,OPEN,VAGUE_DESCRIPTION
267,102,20,12.0,52123.37,,"Flotation Cell Stator, large cell",OPEN,
268,103,193,14.0,2481.42,,"Ball Valve, 50mm (2""), full bore, stainless trim",OPEN,
269,103,148,1.0,207085.26,,as discussed,OPEN,VAGUE_DESCRIPTION
270,104,19,2.0,146941.67,,"Density Meter, nuclear, 25mm (1"") pipe",OPEN,
271,104,69,4.0,1805.74,,"Deep Groove Ball Bearing 6230-2RS, 30mm bore",OPEN,
272,105,51,19.0,299277.5,,"Mill Trunnion Bearing Liner, discharge end",OPEN,
273,106,115,10.0,24825.63,,"Ball Mill Grinding Media, 100mm, forged steel balls",OPEN,
274,107,219,14.0,29772.43,SVC-REF-02,Ref Service - contracted field technician,OPEN,
275,107,208,20.0,11020.24,,Rep Service - contracted field technician,OPEN,MISSING_SERVICE_CODE
276,107,220,16.0,14403.93,SVC-REF-03,Ref Service - contracted field technician,OPEN,
277,108,195,12.0,30007.66,,"Froth Paddle Assembly, tank cell",OPEN,
278,108,113,19.0,181085.47,,"Centrifugal Slurry Pump Impeller, Heavy duty slurry, hard metal",OPEN,
279,108,90,5.0,1329.14,,"Conveyor Belt, steel cord, 650mm width",OPEN,
280,109,59,4.0,64190.81,,"TEFC Induction Motor, 110kW, 4-pole, IE3",OPEN,
281,110,102,12.0,164295.9,,"Centrifugal Slurry Pump Impeller, Light duty, hard metal",OPEN,
282,111,110,5.0,3051.98,,"Deep Groove Ball Bearing 6220-2RS, 20mm bore",OPEN,
283,112,58,8.0,29543.64,,"Pinch Valve, 100mm (4""), slurry service",OPEN,
284,112,129,7.0,262869.65,,"Slip Ring Induction Motor, 11kW, 6-pole",OPEN,
285,112,196,11.0,4711.29,,"Impact Idler, 800mm belt width, rubber disc",OPEN,
286,113,64,5.0,2774.38,,"Deep Groove Ball Bearing 6225-2RS, 25mm bore",OPEN,
287,113,43,13.0,3370.26,,"Ball Valve, 150mm (6""), full bore, stainless trim",OPEN,MISSING_SERVICE_CODE
288,114,219,1.0,31907.64,SVC-REF-02,Ref Service - contracted field technician,OPEN,
289,115,26,4.0,274904.77,,"Cone Crusher Mantle, extra-coarse profile",OPEN,MISSING_SERVICE_CODE
290,115,73,11.0,62979.94,,"Flotation Cell Impeller, medium cell, rubber coated",OPEN,
291,116,105,14.0,12753.04,,spares as required,OPEN,VAGUE_DESCRIPTION
292,116,124,8.0,110478.21,,"Slip Ring Induction Motor, 15kW, 6-pole",OPEN,
293,117,50,16.0,10131.86,,"Butterfly Valve, 80mm (3""), wafer type",OPEN,
294,117,121,9.0,37670.92,,"Circuit Breaker, MCCB, 250A",OPEN,
295,118,109,5.0,4962.76,,"Troughing Idler Set, 1200mm belt width, 3-roll",OPEN,
296,118,142,8.0,71193.26,,"Seal Support System, API Plan 32, shaft 100mm",OPEN,
297,118,104,8.0,32108.8,,"Centrifugal Slurry Pump Impeller, High-head, hard metal",OPEN,
298,119,137,12.0,17521.52,,"Pressure Transmitter, 0-10 bar range, 4-20mA",OPEN,
299,120,195,6.0,30110.22,,"Froth Paddle Assembly, tank cell",OPEN,
300,120,57,1.0,2393.76,,"Conveyor Belt, steel cord, 800mm width",OPEN,
