section,pr_po_number,unit,area,type,category,value_zar,count,aging_bucket,root_cause_category,primary_cause_detail,sub_causes,badge,stuck_with_person,stuck_with_role,urgency,month,days_lost,session_id
trend,,,,,,,,,Vendor Delay - Ariba Participation,,,,,,,Mar,5,
trend,,,,,,,,,Vendor Delay - Ariba Participation,,,,,,,Apr,5,
trend,,,,,,,,,Vendor Delay - Ariba Participation,,,,,,,May,5,
trend,,,,,,,,,Vendor Delay - Ariba Participation,,,,,,,Jun,6,
trend,,,,,,,,,Vendor Delay - Ariba Participation,,,,,,,Jul,6,
trend,,,,,,,,,User Delay - Technical Evaluation,,,,,,,Feb,3,
trend,,,,,,,,,User Delay - Technical Evaluation,,,,,,,Mar,4,
trend,,,,,,,,,User Delay - Technical Evaluation,,,,,,,Apr,4,
trend,,,,,,,,,User Delay - Technical Evaluation,,,,,,,May,5,
trend,,,,,,,,,User Delay - Technical Evaluation,,,,,,,Jun,5,
trend,,,,,,,,,User Delay - Technical Evaluation,,,,,,,Jul,5,
trend,,,,,,,,,NFA Approval Delay,,,,,,,Feb,2,
trend,,,,,,,,,NFA Approval Delay,,,,,,,Mar,2,
trend,,,,,,,,,NFA Approval Delay,,,,,,,Apr,3,
trend,,,,,,,,,NFA Approval Delay,,,,,,,May,2,
trend,,,,,,,,,NFA Approval Delay,,,,,,,Jun,3,
trend,,,,,,,,,NFA Approval Delay,,,,,,,Jul,3,
drill_down,PR-90421,Gamsberg,Plant,Material,Repair,48200,,15-30 days,User Delay - Scope of Work,Incomplete/unclear scope definition,,,R. Patel,Dept Head (L2),High,,,SPR-2847
drill_down,PR-90433,Gamsberg,Mining,Material,Dewatering,74500,,More than 120 days,Vendor Delay - Payment,Outstanding invoices,,,R. Patel,Dept Head (L2),Critical,,,SPR-2802
drill_down,PR-90452,BMM,Plant,Material,Repair,56500,,15-30 days,User Delay - Scope of Work,Frequent scope changes,,,N. Zulu,Dept Head (L2),Normal,,,
drill_down,PR-90422,Gamsberg,Plant,Material,General Consumables,8400,,7-15 days,Buyer Delay,Resource constraints / workload,,,T. Mokoena,Maintenance Planner,Normal,,,SPR-2851
drill_down,PR-90447,BMM,Plant,Material,Dewatering,19800,,0-7 days,System Delay,Workflow approval delays,,,M. Naidoo,Maintenance Planner,Normal,,,
drill_down,PR-90449,Gamsberg,Plant,Material,Filtration,12600,,7-15 days,System Delay,PR-PO integration issues,,,T. Mokoena,Maintenance Planner,Normal,,,
drill_down,PR-90440,BMM,Plant,Material,General Consumables,28000,,0-7 days,System Delay,Source list/system data not maintained,,,System,SAP ECC Job,Normal,,,
drill_down,PR-90454,Gamsberg,Plant,Material,Crushing,9400,,7-15 days,System Delay,Process bottlenecks in system workflows,,,System,SAP ECC Job,Normal,,,
drill_down,PR-90458,Gamsberg,Other,Material,General Consumables,21500,,30-60 days,Buyer Delay,Competing priorities,,,S. van Wyk,Buyer,Normal,,,
drill_down,PR-90461,BMM,Plant,Material,Electrical Spares,15200,,60-90 days,User Delay - Technical Evaluation,Technical clarification delays,,,PwC Team,External Evaluator,Critical,,,
drill_down,PR-90463,Gamsberg,Plant,Material,Milling,34200,,60-90 days,User Delay - Technical Evaluation,Late submission of evaluations,,,PwC Team,External Evaluator,Critical,,,
drill_down,PR-90430,BMM,Plant,Material,Repair,42500,,30-60 days,NFA Approval Delay,Delays in approval turnaround,,,P. Govender,Finance Head,Critical,,,
drill_down,PR-90445,Gamsberg,Mining,Material,Reagent,45000,,30-60 days,Vendor Delay - Payment,Vendor refusal to proceed without payment,,,K. Dlamini,Senior Buyer,High,,,
drill_down,PR-90470,BMM,Other,Material,Township (OAR),11800,,90-120 days,NFA Approval Delay,Approval hierarchy complexity,,,P. Govender,Finance Head,High,,,
drill_down,PR-90474,Gamsberg,Plant,Material,Phase-2,26400,,15-30 days,User Delay - Scope of Work,Late consolidation of plant inputs,,,T. Mokoena,Maintenance Planner,Normal,,,
drill_down,PO-70112,Gamsberg,Other,Service,General Consumables,890000,,7-15 days,Vendor Delay - Ariba Participation,Vendor onboarding delays,,,S. van Wyk,Buyer,Normal,,,
drill_down,PO-70115,Gamsberg,Mining,Service,Repair,2150000,,More than 120 days,Vendor Delay - Payment,Payment issues blocking order execution,,,A. Kumar,Vendor Lead,High,,,
drill_down,PO-70118,BMM,Plant,Service,Dewatering,640000,,60-90 days,Vendor Delay - Ariba Participation,Slow vendor response times,,,A. Kumar,Vendor Lead,Normal,,,
drill_down,PO-70121,BMM,Mining,Service,Repair,1180000,,90-120 days,User Delay - Technical Evaluation,RFP / evaluation backlog,,,PwC Team,External Evaluator,Critical,,,
drill_down,PO-70124,Gamsberg,Plant,Service,Filtration,540000,,30-60 days,Vendor Delay - Ariba Participation,Incomplete documentation,,,S. van Wyk,Buyer,Normal,,,
drill_down,PO-70127,BMM,Swartberg,Service,General Consumables,62000,,15-30 days,NFA Approval Delay,Missing documentation,,,K. Dlamini,Senior Buyer,Normal,,,
drill_down,PO-70130,BMM,Other,Service,Repair,310000,,0-7 days,Buyer Delay,Personnel changes,,,S. van Wyk,Buyer,Normal,,,
