recommendation_id,Matnr,Werks,material_description,criticality,demand_pattern,consumptions_12m,lead_time_days,current_rop,recommended_rop,current_safety_stock,recommended_safety_stock,current_max_stock,recommended_max_stock,recommendation_type,reason,status,created_on
REC-000011,000000000010000005,1000,Ball Mill Trunnion Bearing HD KSB,NORMAL,INTERMITTENT,3,59,7.095,4.200,4.106,2.400,7.095,7.000,ROP_MAX_SAFETY_STOCK,Stock on hand 9 exceeds the current maximum 7.095. Consumption of 0.9 per month supports a maximum of 7.,APPROVED,2026-05-24
REC-000012,000000000010000007,2000,PLC Digital Output Card 250KW KSB,NORMAL,INTERMITTENT,2,20,1.596,1.500,1.091,1.000,3.105,3.600,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 0.7 per month over 24 months with a 20-day lead time gives a reorder point of 1.5 against the current 1.596.,PROPOSED,2026-08-31
REC-000013,000000000010000007,3000,PLC Digital Output Card 250KW KSB,NORMAL,INTERMITTENT,2,20,2.667,2.100,1.806,1.400,8.243,5.100,ROP_MAX_SAFETY_STOCK,"Stock on hand 1 is below the current reorder point 2.667. At the NORMAL service level of 85% and a 20-day lead time, the reorder point should be 2.1.",APPROVED,2026-06-11
REC-000014,000000000080000002,1000,Gearbox Bearing 200MM SKF,IMPACT,INTERMITTENT,5,21,1.277,2.900,0.918,2.100,10.630,6.500,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.2 per month over 24 months with a 21-day lead time gives a reorder point of 2.9 against the current 1.277.,PROPOSED,2026-07-08
REC-000015,000000000080000002,2000,Gearbox Bearing 200MM SKF,IMPACT,INTERMITTENT,5,21,3.953,5.500,2.656,3.700,19.344,13.400,ROP_MAX_SAFETY_STOCK,"Stock on hand 1 is below the current reorder point 3.953. At the IMPACT service level of 95% and a 21-day lead time, the reorder point should be 5.5.",APPROVED,2026-07-24
REC-000016,000000000010000008,3000,Mill Liner 10/8 ABB,IMPACT,REGULAR,10,44,13.338,29.900,3.510,7.900,83.809,75.700,ROP_MAX_SAFETY_STOCK,Regular consumption of 15.2 per month over 24 months with a 44-day lead time gives a reorder point of 29.9 against the current 13.338.,REJECTED,2026-07-25
REC-000017,000000000010000008,4000,Mill Liner 10/8 ABB,IMPACT,REGULAR,12,44,78.667,49.100,17.017,10.600,110.821,129.000,ROP_MAX_SAFETY_STOCK,Regular consumption of 26.6 per month over 24 months with a 44-day lead time gives a reorder point of 49.1 against the current 78.667.,APPROVED,2026-07-04
REC-000018,000000000010000009,3000,Soft Starter Power Module 110KW ABB,NORMAL,REGULAR,12,18,22.134,19.400,5.717,5.000,110.608,92.300,ROP_MAX_SAFETY_STOCK,Regular consumption of 24.3 per month over 24 months with a 18-day lead time gives a reorder point of 19.4 against the current 22.134.,REJECTED,2026-07-07
REC-000019,000000000010000010,4000,Apron Feeder Gear Reducer 6/4 KSB,CRITICAL,SLOW,1,83,1.597,1.800,1.181,1.300,3.456,2.300,ROP_MAX_SAFETY_STOCK,Stock on hand 5 exceeds the current maximum 3.456. Consumption of 0.2 per month supports a maximum of 2.3.,APPROVED,2026-08-09
REC-000020,000000000010000011,1000,Conveyor Drive Motor 250MM SEW,INSURANCE,INTERMITTENT,7,237,6.152,13.200,1.640,3.500,19.316,16.900,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.2 per month over 24 months with a 237-day lead time gives a reorder point of 13.2 against the current 6.152.,REJECTED,2026-08-10
REC-000021,000000000010000011,4000,Conveyor Drive Motor 250MM SEW,INSURANCE,INTERMITTENT,8,237,14.986,14.300,3.469,3.300,27.133,18.600,ROP_MAX_SAFETY_STOCK,"Stock on hand 9 is below the current reorder point 14.986. At the INSURANCE service level of 90% and a 237-day lead time, the reorder point should be 14.3.",REJECTED,2026-07-08
REC-000022,000000000010000012,3000,Valve Assembly TYPE A ABB,CRITICAL,INTERMITTENT,0,58,10.010,5.600,6.922,3.900,10.010,8.300,ROP_MAX_SAFETY_STOCK,"Stock on hand 0 is below the current reorder point 10.01. At the CRITICAL service level of 98% and a 58-day lead time, the reorder point should be 5.6.",APPROVED,2026-05-11
REC-000023,000000000010000013,1000,Level Radar Transmitter 6/4 MULTOTEC,CRITICAL,SLOW,3,94,1.905,2.100,1.332,1.500,4.880,2.700,ROP_MAX_SAFETY_STOCK,Stock on hand 5 exceeds the current maximum 4.88. Consumption of 0.2 per month supports a maximum of 2.7.,PROPOSED,2026-09-02
REC-000024,000000000010000014,3000,Valve Assembly HD FLSM,INSURANCE,INTERMITTENT,5,41,8.009,7.600,4.544,4.300,15.179,15.000,ROP_MAX_SAFETY_STOCK,"Stock on hand 8 is below the current reorder point 8.009. At the INSURANCE service level of 90% and a 41-day lead time, the reorder point should be 7.6.",APPROVED,2026-07-13
REC-000025,000000000080000003,1000,Spherical Roller Bearing 10/8 ABB,CRITICAL,INTERMITTENT,5,121,10.224,18.400,5.902,10.600,41.188,24.300,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 2.0 per month over 24 months with a 121-day lead time gives a reorder point of 18.4 against the current 10.224.,APPROVED,2026-06-06
REC-000026,000000000010000015,1000,Gearbox Bearing 6/4 SKF,INSURANCE,INTERMITTENT,4,83,5.034,4.300,3.057,2.600,6.081,6.200,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 0.6 per month over 24 months with a 83-day lead time gives a reorder point of 4.3 against the current 5.034.,APPROVED,2026-09-02
REC-000027,000000000080000004,3000,Variable Speed Drive Unit 200MM ABB,NORMAL,INTERMITTENT,6,32,6.202,5.000,3.470,2.800,16.239,11.200,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 2.1 per month over 24 months with a 32-day lead time gives a reorder point of 5 against the current 6.202.,REJECTED,2026-07-06
REC-000028,000000000080000005,2000,Pump Impeller TYPE B ABB,IMPACT,INTERMITTENT,6,14,1.836,3.200,1.429,2.500,8.076,7.800,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.5 per month over 24 months with a 14-day lead time gives a reorder point of 3.2 against the current 1.836.,APPROVED,2026-06-13
REC-000029,000000000010000017,1000,Pressure Transmitter Assembly 150MM,NORMAL,INTERMITTENT,8,12,2.085,1.900,1.312,1.200,8.879,7.200,ROP_MAX_SAFETY_STOCK,Stock on hand 9 exceeds the current maximum 8.879. Consumption of 1.8 per month supports a maximum of 7.2.,PROPOSED,2026-07-03
REC-000030,000000000010000018,3000,MCC Feeder Circuit Breaker 150MM SEW,CRITICAL,INTERMITTENT,5,106,20.711,18.100,10.906,9.500,37.670,25.500,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 2.5 per month over 24 months with a 106-day lead time gives a reorder point of 18.1 against the current 20.711.,APPROVED,2026-07-22
REC-000031,000000000090000000,2000,Pressure Transmitter Assembly 110KW,OBSOLETE,NO_DEMAND,0,37,0.000,,0.000,,1.000,,NO_SAFETY_STOCK,Obsolete material: no safety stock recommended. Candidate for stock reduction review.,APPROVED,2026-05-29
REC-000032,000000000010000019,1000,Thickener Rake Seal Kit 150MM KSB,IMPACT,REGULAR,12,33,49.843,46.500,16.824,15.700,173.463,131.800,ROP_MAX_SAFETY_STOCK,Regular consumption of 28.4 per month over 24 months with a 33-day lead time gives a reorder point of 46.5 against the current 49.843.,APPROVED,2026-08-08
REC-000033,000000000080000006,3000,Valve Assembly TYPE B FLSM,IMPACT,INTERMITTENT,4,9,5.082,2.800,4.020,2.200,10.037,8.800,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 2.0 per month over 24 months with a 9-day lead time gives a reorder point of 2.8 against the current 5.082.,APPROVED,2026-05-14
REC-000034,000000000080000006,4000,Valve Assembly TYPE B FLSM,IMPACT,INTERMITTENT,6,9,1.912,1.500,1.492,1.200,6.748,5.000,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.2 per month over 24 months with a 9-day lead time gives a reorder point of 1.5 against the current 1.912.,PROPOSED,2026-08-08
REC-000035,000000000010000020,2000,Centrifugal Pump Casing 250KW SANDVIK,IMPACT,SLOW,4,51,0.847,1.200,0.607,0.900,2.492,1.800,ROP_MAX_SAFETY_STOCK,Slow consumption of 0.2 per month over 24 months with a 51-day lead time gives a reorder point of 1.2 against the current 0.847.,REJECTED,2026-08-23
REC-000036,000000000010000020,4000,Centrifugal Pump Casing 250KW SANDVIK,IMPACT,SLOW,2,51,1.993,1.200,1.429,0.900,3.153,1.800,ROP_MAX_SAFETY_STOCK,Slow consumption of 0.2 per month over 24 months with a 51-day lead time gives a reorder point of 1.2 against the current 1.993.,PROPOSED,2026-08-06
REC-000037,000000000010000021,2000,Flotation Cell Impeller 55KW FLSM,NORMAL,REGULAR,12,60,57.126,37.000,6.841,4.400,130.408,86.600,ROP_MAX_SAFETY_STOCK,"Stock on hand 50 is below the current reorder point 57.126. At the NORMAL service level of 85% and a 60-day lead time, the reorder point should be 37.",HELD,2026-06-03
REC-000038,000000000090000001,1000,Ball Mill Shell Liner Plate 8/6 SEW,OBSOLETE,NO_DEMAND,0,24,0.000,,0.000,,1.000,,NO_SAFETY_STOCK,Obsolete material: no safety stock recommended. Candidate for stock reduction review.,REJECTED,2026-07-17
REC-000039,000000000010000023,3000,Ball Mill Gearbox Assembly DN150 SIEMENS,CRITICAL,INTERMITTENT,0,116,8.166,5.800,5.259,3.700,8.166,7.400,ROP_MAX_SAFETY_STOCK,"Stock on hand 0 is below the current reorder point 8.166. At the CRITICAL service level of 98% and a 116-day lead time, the reorder point should be 5.8.",APPROVED,2026-08-17
REC-000040,000000000010000024,4000,Variable Speed Drive Unit TYPE B KSB,CRITICAL,INTERMITTENT,0,122,10.801,17.800,6.431,10.600,21.071,23.200,ROP_MAX_SAFETY_STOCK,"Stock on hand 0 is below the current reorder point 10.801. At the CRITICAL service level of 98% and a 122-day lead time, the reorder point should be 17.8.",REJECTED,2026-08-28
REC-000041,000000000010000024,1000,Variable Speed Drive Unit TYPE B KSB,CRITICAL,INTERMITTENT,0,122,8.337,7.000,5.358,4.500,8.337,8.900,ROP_MAX_SAFETY_STOCK,"Stock on hand 0 is below the current reorder point 8.337. At the CRITICAL service level of 98% and a 122-day lead time, the reorder point should be 7.",APPROVED,2026-06-15
REC-000042,000000000080000007,3000,Mill Lube Pump Motor 110KW SKF,NORMAL,INTERMITTENT,6,50,2.339,2.000,1.212,1.000,4.294,3.800,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 0.6 per month over 24 months with a 50-day lead time gives a reorder point of 2 against the current 2.339.,APPROVED,2026-08-23
REC-000043,000000000080000008,3000,Ball Mill Trunnion Bearing 8/6 SIEMENS,CRITICAL,INTERMITTENT,3,122,7.446,8.700,4.443,5.200,11.416,11.300,ROP_MAX_SAFETY_STOCK,"Stock on hand 5 is below the current reorder point 7.446. At the CRITICAL service level of 98% and a 122-day lead time, the reorder point should be 8.7.",PROPOSED,2026-08-15
REC-000044,000000000080000008,2000,Ball Mill Trunnion Bearing 8/6 SIEMENS,CRITICAL,INTERMITTENT,2,122,15.944,12.400,11.192,8.700,15.944,15.200,ROP_MAX_SAFETY_STOCK,Stock on hand 18 exceeds the current maximum 15.944. Consumption of 0.9 per month supports a maximum of 15.2.,APPROVED,2026-08-08
REC-000045,000000000010000025,4000,Valve Assembly TYPE B SIEMENS,CRITICAL,INTERMITTENT,0,43,7.282,5.700,5.245,4.100,8.196,9.100,ROP_MAX_SAFETY_STOCK,"Stock on hand 0 is below the current reorder point 7.282. At the CRITICAL service level of 98% and a 43-day lead time, the reorder point should be 5.7.",PROPOSED,2026-07-22
REC-000046,000000000010000026,2000,Hydraulic Pump Assembly TYPE A SKF,CRITICAL,INTERMITTENT,9,155,6.196,9.400,3.114,4.700,16.979,12.200,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 0.9 per month over 24 months with a 155-day lead time gives a reorder point of 9.4 against the current 6.196.,PROPOSED,2026-05-20
REC-000047,000000000010000027,4000,Vertical Sump Pump Column HD KSB,INSURANCE,INTERMITTENT,4,36,4.325,2.700,2.899,1.800,4.325,5.000,ROP_MAX_SAFETY_STOCK,Stock on hand 7 exceeds the current maximum 4.325. Consumption of 0.8 per month supports a maximum of 5.,HELD,2026-07-04
REC-000048,000000000080000009,3000,Flow Meter Sensor Head 250MM MULTOTEC,IMPACT,INTERMITTENT,5,57,7.893,5.500,5.001,3.500,13.215,8.800,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.1 per month over 24 months with a 57-day lead time gives a reorder point of 5.5 against the current 7.893.,PROPOSED,2026-07-26
REC-000049,000000000010000028,1000,Crusher Hydroset Cylinder 10/8 SEW,IMPACT,INTERMITTENT,5,60,1.631,2.900,1.023,1.800,7.396,4.500,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 0.5 per month over 24 months with a 60-day lead time gives a reorder point of 2.9 against the current 1.631.,REJECTED,2026-08-27
REC-000050,000000000010000029,2000,Variable Speed Drive Unit 250MM SIEMENS,NORMAL,REGULAR,11,48,69.536,48.100,12.394,8.600,126.273,123.200,ROP_MAX_SAFETY_STOCK,Regular consumption of 25.0 per month over 24 months with a 48-day lead time gives a reorder point of 48.1 against the current 69.536.,HELD,2026-07-16
REC-000051,000000000010000030,1000,Slurry Density Transmitter 55KW WEIR,IMPACT,INTERMITTENT,3,27,1.269,1.500,0.931,1.100,4.394,2.900,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 0.5 per month over 24 months with a 27-day lead time gives a reorder point of 1.5 against the current 1.269.,PROPOSED,2026-05-12
REC-000052,000000000010000031,4000,Variable Speed Drive Unit 250MM ABB,NORMAL,SLOW,2,54,1.582,1.000,0.961,0.600,2.374,1.600,ROP_MAX_SAFETY_STOCK,Slow consumption of 0.2 per month over 24 months with a 54-day lead time gives a reorder point of 1 against the current 1.582.,REJECTED,2026-08-01
REC-000053,000000000010000032,3000,Agitator Shaft Seal 200MM SANDVIK,NORMAL,INTERMITTENT,4,18,1.330,2.200,0.901,1.500,5.889,5.800,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.2 per month over 24 months with a 18-day lead time gives a reorder point of 2.2 against the current 1.33.,APPROVED,2026-05-18
REC-000054,000000000010000033,3000,Slurry Pump Mechanical Seal 55KW FLSM,CRITICAL,SLOW,2,39,3.939,2.400,3.085,1.900,3.939,3.600,ROP_MAX_SAFETY_STOCK,Stock on hand 6 exceeds the current maximum 3.939. Consumption of 0.4 per month supports a maximum of 3.6.,PROPOSED,2026-06-09
REC-000055,000000000010000034,1000,Slurry Pump Wet End Assembly 8/6 KSB,INSURANCE,INTERMITTENT,7,125,3.203,5.400,1.380,2.300,7.043,7.700,ROP_MAX_SAFETY_STOCK,"Stock on hand 1 is below the current reorder point 3.203. At the INSURANCE service level of 90% and a 125-day lead time, the reorder point should be 5.4.",PROPOSED,2026-05-18
REC-000056,000000000010000034,4000,Slurry Pump Wet End Assembly 8/6 KSB,INSURANCE,INTERMITTENT,6,125,27.061,16.100,12.116,7.200,27.061,22.600,ROP_MAX_SAFETY_STOCK,"Stock on hand 17 is below the current reorder point 27.061. At the INSURANCE service level of 90% and a 125-day lead time, the reorder point should be 16.1.",HELD,2026-08-04
REC-000057,000000000080000010,3000,Conveyor Take-Up Pulley 250MM KSB,CRITICAL,INTERMITTENT,5,41,12.745,7.400,9.253,5.400,20.704,11.900,ROP_MAX_SAFETY_STOCK,"Stock on hand 8 is below the current reorder point 12.745. At the CRITICAL service level of 98% and a 41-day lead time, the reorder point should be 7.4.",HELD,2026-06-12
REC-000058,000000000080000011,3000,Level Radar Transmitter 250KW MULTOTEC,CRITICAL,INTERMITTENT,5,149,12.114,9.200,6.749,5.100,16.022,11.700,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 0.8 per month over 24 months with a 149-day lead time gives a reorder point of 9.2 against the current 12.114.,APPROVED,2026-05-18
REC-000059,000000000010000036,1000,Flotation Cell Impeller 250MM ABB,CRITICAL,REGULAR,11,77,73.808,42.700,17.494,10.100,97.084,81.300,ROP_MAX_SAFETY_STOCK,"Stock on hand 48 is below the current reorder point 73.808. At the CRITICAL service level of 98% and a 77-day lead time, the reorder point should be 42.7.",PROPOSED,2026-05-11
REC-000060,000000000010000037,3000,Gland Packing Seal Ring DN100 FLSM,INSURANCE,REGULAR,12,63,78.030,57.700,14.313,10.600,143.783,126.000,ROP_MAX_SAFETY_STOCK,"Stock on hand 32 is below the current reorder point 78.03. At the INSURANCE service level of 90% and a 63-day lead time, the reorder point should be 57.7.",APPROVED,2026-08-10
REC-000061,000000000080000012,3000,MCC Feeder Circuit Breaker 6/4 SEW,IMPACT,INTERMITTENT,5,24,1.374,2.100,1.033,1.600,6.826,4.100,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 0.7 per month over 24 months with a 24-day lead time gives a reorder point of 2.1 against the current 1.374.,APPROVED,2026-07-30
REC-000062,000000000010000038,4000,Ball Mill Shell Liner Plate 8/6,IMPACT,INTERMITTENT,6,50,8.875,5.200,5.457,3.200,8.875,8.800,ROP_MAX_SAFETY_STOCK,Stock on hand 13 exceeds the current maximum 8.875. Consumption of 1.2 per month supports a maximum of 8.8.,APPROVED,2026-06-07
REC-000063,000000000010000039,4000,Pump Impeller DN100 ABB,CRITICAL,REGULAR,12,102,112.826,79.100,22.561,15.800,128.753,135.700,ROP_MAX_SAFETY_STOCK,Regular consumption of 18.9 per month over 24 months with a 102-day lead time gives a reorder point of 79.1 against the current 112.826.,PROPOSED,2026-07-22
REC-000064,000000000010000040,4000,Ball Mill Trunnion Bearing DN150 KSB,INSURANCE,INTERMITTENT,6,106,5.953,10.500,2.265,4.000,13.343,16.100,ROP_MAX_SAFETY_STOCK,"Stock on hand 0 is below the current reorder point 5.953. At the INSURANCE service level of 90% and a 106-day lead time, the reorder point should be 10.5.",PROPOSED,2026-07-02
REC-000065,000000000080000013,4000,Flotation Blower Motor TYPE B ABB,NORMAL,INTERMITTENT,1,54,5.037,4.700,3.128,2.900,9.500,7.700,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.0 per month over 24 months with a 54-day lead time gives a reorder point of 4.7 against the current 5.037.,HELD,2026-08-14
REC-000066,000000000010000042,4000,Ball Mill Shell Liner Plate 250KW ABB,INSURANCE,REGULAR,12,96,69.992,48.500,10.433,7.200,69.992,87.800,ROP_MAX_SAFETY_STOCK,"Stock on hand 42 is below the current reorder point 69.992. At the INSURANCE service level of 90% and a 96-day lead time, the reorder point should be 48.5.",APPROVED,2026-05-27
REC-000067,000000000030000004,4000,Pressure Transmitter Assembly DN100,CRITICAL,ON_DEMAND,2,73,0.000,11.500,0.000,7.300,0.000,16.800,OAR_TO_MIN_MAX,This OAR material is classified CRITICAL on the critical parts list. Recommend Min-Max management with a reorder point of 11.5 and a maximum of 16.8.,APPROVED,2026-05-12
REC-000068,000000000010000043,4000,Hydraulic Power Pack 55KW FLSM,CRITICAL,INTERMITTENT,0,118,15.320,8.900,9.764,5.700,16.898,11.400,ROP_MAX_SAFETY_STOCK,"Stock on hand 0 is below the current reorder point 15.32. At the CRITICAL service level of 98% and a 118-day lead time, the reorder point should be 8.9.",PROPOSED,2026-05-30
REC-000069,000000000010000044,3000,Level Radar Transmitter 150MM ABB,CRITICAL,SLOW,2,147,7.310,7.000,4.372,4.200,9.327,8.800,ROP_MAX_SAFETY_STOCK,Slow consumption of 0.6 per month over 24 months with a 147-day lead time gives a reorder point of 7 against the current 7.31.,PROPOSED,2026-05-26
REC-000070,000000000010000044,4000,Level Radar Transmitter 150MM ABB,CRITICAL,SLOW,2,147,9.263,6.400,5.772,4.000,12.467,7.900,ROP_MAX_SAFETY_STOCK,Slow consumption of 0.5 per month over 24 months with a 147-day lead time gives a reorder point of 6.4 against the current 9.263.,APPROVED,2026-08-15
REC-000071,000000000080000014,3000,Gearbox Bearing HD SANDVIK,IMPACT,INTERMITTENT,6,14,1.889,1.900,1.468,1.500,3.273,4.700,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 0.9 per month over 24 months with a 14-day lead time gives a reorder point of 1.9 against the current 1.889.,APPROVED,2026-07-19
REC-000072,000000000080000014,1000,Gearbox Bearing HD SANDVIK,IMPACT,INTERMITTENT,2,14,1.053,1.300,0.836,1.000,3.699,3.000,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 0.6 per month over 24 months with a 14-day lead time gives a reorder point of 1.3 against the current 1.053.,REJECTED,2026-06-30
REC-000073,000000000080000015,1000,Level Radar Transmitter TYPE B SANDVIK,IMPACT,INTERMITTENT,4,35,1.673,3.200,1.089,2.100,8.862,6.200,ROP_MAX_SAFETY_STOCK,"Stock on hand 1 is below the current reorder point 1.673. At the IMPACT service level of 95% and a 35-day lead time, the reorder point should be 3.2.",REJECTED,2026-07-05
REC-000074,000000000030000007,2000,Valve Assembly TYPE A METSO,CRITICAL,ON_DEMAND,1,116,0.000,6.500,0.000,3.500,0.000,8.900,OAR_TO_MIN_MAX,This OAR material is classified CRITICAL on the critical parts list. Recommend Min-Max management with a reorder point of 6.5 and a maximum of 8.9.,APPROVED,2026-07-07
REC-000075,000000000010000045,1000,Centrifugal Pump Casing 110KW MULTOTEC,CRITICAL,INTERMITTENT,7,232,28.808,19.200,13.033,8.700,31.076,23.300,ROP_MAX_SAFETY_STOCK,"Stock on hand 13 is below the current reorder point 28.808. At the CRITICAL service level of 98% and a 232-day lead time, the reorder point should be 19.2.",REJECTED,2026-07-19
REC-000076,000000000010000049,4000,Mill Lube Pump Motor DN150 KSB,INSURANCE,INTERMITTENT,4,73,3.226,4.200,1.706,2.200,4.866,6.700,ROP_MAX_SAFETY_STOCK,"Stock on hand 2 is below the current reorder point 3.226. At the INSURANCE service level of 90% and a 73-day lead time, the reorder point should be 4.2.",PROPOSED,2026-06-11
REC-000077,000000000090000002,2000,Flotation Blower Motor 6/4 SANDVIK,OBSOLETE,NO_DEMAND,0,38,0.000,,0.000,,1.000,,NO_SAFETY_STOCK,Obsolete material: no safety stock recommended. Candidate for stock reduction review.,HELD,2026-05-21
REC-000078,000000000080000016,3000,Slurry Pump Mechanical Seal 250MM ABB,IMPACT,INTERMITTENT,5,27,6.948,5.900,4.574,3.900,10.883,12.800,ROP_MAX_SAFETY_STOCK,Stock on hand 16 exceeds the current maximum 10.883. Consumption of 2.3 per month supports a maximum of 12.8.,REJECTED,2026-08-02
REC-000079,000000000010000050,1000,Cyclone Apex Liner 6/4 KSB,CRITICAL,INTERMITTENT,0,99,6.955,8.900,4.745,6.100,10.504,11.500,ROP_MAX_SAFETY_STOCK,"Stock on hand 0 is below the current reorder point 6.955. At the CRITICAL service level of 98% and a 99-day lead time, the reorder point should be 8.9.",PROPOSED,2026-07-21
REC-000080,000000000010000050,4000,Cyclone Apex Liner 6/4 KSB,CRITICAL,INTERMITTENT,0,99,3.781,8.500,2.145,4.800,14.283,11.900,ROP_MAX_SAFETY_STOCK,"Stock on hand 0 is below the current reorder point 3.781. At the CRITICAL service level of 98% and a 99-day lead time, the reorder point should be 8.5.",APPROVED,2026-08-24
REC-000081,000000000080000017,2000,Slurry Pump Wet End Assembly 55KW,CRITICAL,INTERMITTENT,4,62,9.493,5.800,6.397,3.900,10.457,8.600,ROP_MAX_SAFETY_STOCK,"Stock on hand 5 is below the current reorder point 9.493. At the CRITICAL service level of 98% and a 62-day lead time, the reorder point should be 5.8.",APPROVED,2026-07-25
REC-000082,000000000010000051,4000,PLC Digital Output Card DN150 MULTOTEC,CRITICAL,INTERMITTENT,0,147,4.888,7.000,2.520,3.600,11.396,9.100,ROP_MAX_SAFETY_STOCK,"Stock on hand 0 is below the current reorder point 4.888. At the CRITICAL service level of 98% and a 147-day lead time, the reorder point should be 7.",APPROVED,2026-09-02
REC-000083,000000000080000018,2000,Gearbox Bearing DN150 SANDVIK,CRITICAL,INTERMITTENT,0,123,4.722,3.000,3.936,2.500,4.722,3.400,ROP_MAX_SAFETY_STOCK,Stock on hand 6 exceeds the current maximum 4.722. Consumption of 0.1 per month supports a maximum of 3.4.,APPROVED,2026-07-02
REC-000084,000000000010000053,2000,Conveyor Take-Up Pulley 250MM FLSM,IMPACT,REGULAR,11,30,42.751,45.700,13.284,14.200,146.567,141.600,ROP_MAX_SAFETY_STOCK,"Stock on hand 0 is below the current reorder point 42.751. At the IMPACT service level of 95% and a 30-day lead time, the reorder point should be 45.7.",APPROVED,2026-06-24
