approval_id,recommendation_id,approver_role,approver_user,decision,decision_date,comment
APR-000023,REC-000028,Engineering Head,VZIINV01,APPROVED,2026-06-24,Approved; to be applied in SAP by VZI.
APR-000024,REC-000030,Plant Head,VZIINV02,APPROVED,2026-08-01,Approved; to be applied in SAP by VZI.
APR-000025,REC-000031,Inventory Controller,VZIINV01,APPROVED,2026-06-07,Approved; to be applied in SAP by VZI.
APR-000026,REC-000032,Engineering Head,VZIINV01,APPROVED,2026-08-18,Approved; to be applied in SAP by VZI.
APR-000027,REC-000033,Engineering Head,VZIINV02,APPROVED,2026-05-26,Approved; to be applied in SAP by VZI.
APR-000028,REC-000035,Engineering Head,VZIINV02,REJECTED,2026-09-07,Consumption not considered representative.
APR-000029,REC-000037,Inventory Controller,VZIINV01,HELD,2026-06-08,Held pending further consumption evidence.
APR-000030,REC-000038,Inventory Controller,VZIINV02,REJECTED,2026-07-28,Consumption not considered representative.
APR-000031,REC-000039,Plant Head,VZIINV01,APPROVED,2026-09-01,Approved; to be applied in SAP by VZI.
APR-000032,REC-000040,Plant Head,VZIINV01,REJECTED,2026-09-07,Consumption not considered representative.
APR-000033,REC-000041,Plant Head,VZIINV02,APPROVED,2026-06-18,Approved; to be applied in SAP by VZI.
APR-000034,REC-000042,Inventory Controller,VZIINV02,APPROVED,2026-09-07,Approved; to be applied in SAP by VZI.
APR-000035,REC-000044,Plant Head,VZIINV01,APPROVED,2026-08-23,Approved; to be applied in SAP by VZI.
APR-000036,REC-000047,Commercial Head,VZIINV01,HELD,2026-07-18,Held pending further consumption evidence.
APR-000037,REC-000049,Engineering Head,VZIINV01,REJECTED,2026-09-04,Consumption not considered representative.
APR-000038,REC-000050,Inventory Controller,VZIINV01,HELD,2026-07-24,Held pending further consumption evidence.
APR-000039,REC-000052,Inventory Controller,VZIINV02,REJECTED,2026-08-10,Consumption not considered representative.
APR-000040,REC-000053,Inventory Controller,VZIINV02,APPROVED,2026-06-07,Approved; to be applied in SAP by VZI.
APR-000041,REC-000056,Commercial Head,VZIINV02,HELD,2026-08-06,Held pending further consumption evidence.
APR-000042,REC-000057,Plant Head,VZIINV01,HELD,2026-06-24,Held pending further consumption evidence.
APR-000043,REC-000058,Plant Head,VZIINV02,APPROVED,2026-05-29,Approved; to be applied in SAP by VZI.
APR-000044,REC-000060,Commercial Head,VZIINV02,APPROVED,2026-08-26,Approved; to be applied in SAP by VZI.
APR-000045,REC-000061,Engineering Head,VZIINV02,APPROVED,2026-08-05,Approved; to be applied in SAP by VZI.
APR-000046,REC-000062,Engineering Head,VZIINV01,APPROVED,2026-06-16,Approved; to be applied in SAP by VZI.
APR-000047,REC-000065,Inventory Controller,VZIINV01,HELD,2026-08-28,Held pending further consumption evidence.
APR-000048,REC-000066,Commercial Head,VZIINV02,APPROVED,2026-06-02,Approved; to be applied in SAP by VZI.
APR-000049,REC-000067,Plant Head,VZIINV02,APPROVED,2026-05-21,Approved; to be applied in SAP by VZI.
APR-000050,REC-000070,Plant Head,VZIINV02,APPROVED,2026-08-16,Approved; to be applied in SAP by VZI.
APR-000051,REC-000071,Engineering Head,VZIINV02,APPROVED,2026-08-03,Approved; to be applied in SAP by VZI.
APR-000052,REC-000072,Engineering Head,VZIINV02,REJECTED,2026-07-13,Consumption not considered representative.
APR-000053,REC-000073,Engineering Head,VZIINV02,REJECTED,2026-07-21,Consumption not considered representative.
APR-000054,REC-000074,Plant Head,VZIINV01,APPROVED,2026-07-19,Approved; to be applied in SAP by VZI.
APR-000055,REC-000075,Plant Head,VZIINV02,REJECTED,2026-08-02,Consumption not considered representative.
APR-000056,REC-000077,Inventory Controller,VZIINV01,HELD,2026-06-08,Held pending further consumption evidence.
APR-000057,REC-000078,Engineering Head,VZIINV01,REJECTED,2026-08-19,Consumption not considered representative.
APR-000058,REC-000080,Plant Head,VZIINV02,APPROVED,2026-08-30,Approved; to be applied in SAP by VZI.
APR-000059,REC-000081,Plant Head,VZIINV01,APPROVED,2026-08-14,Approved; to be applied in SAP by VZI.
APR-000060,REC-000082,Plant Head,VZIINV02,APPROVED,2026-09-07,Approved; to be applied in SAP by VZI.
APR-000061,REC-000083,Plant Head,VZIINV01,APPROVED,2026-07-18,Approved; to be applied in SAP by VZI.
APR-000062,REC-000084,Engineering Head,VZIINV01,APPROVED,2026-07-09,Approved; to be applied in SAP by VZI.
APR-000063,REC-000086,Inventory Controller,VZIINV01,APPROVED,2026-08-11,Approved; to be applied in SAP by VZI.
APR-000064,REC-000087,Inventory Controller,VZIINV01,APPROVED,2026-05-21,Approved; to be applied in SAP by VZI.
APR-000065,REC-000089,Plant Head,VZIINV01,REJECTED,2026-08-06,Consumption not considered representative.
APR-000066,REC-000090,Engineering Head,VZIINV01,HELD,2026-05-24,Held pending further consumption evidence.
APR-000067,REC-000091,Plant Head,VZIINV02,APPROVED,2026-06-21,Approved; to be applied in SAP by VZI.
APR-000068,REC-000092,Engineering Head,VZIINV02,HELD,2026-08-30,Held pending further consumption evidence.
APR-000069,REC-000095,Plant Head,VZIINV02,APPROVED,2026-07-18,Approved; to be applied in SAP by VZI.
APR-000070,REC-000096,Plant Head,VZIINV02,HELD,2026-07-24,Held pending further consumption evidence.
APR-000071,REC-000100,Plant Head,VZIINV01,REJECTED,2026-09-07,Consumption not considered representative.
APR-000072,REC-000101,Plant Head,VZIINV01,APPROVED,2026-08-11,Approved; to be applied in SAP by VZI.
APR-000073,REC-000102,Plant Head,VZIINV02,APPROVED,2026-08-04,Approved; to be applied in SAP by VZI.
APR-000074,REC-000103,Plant Head,VZIINV01,APPROVED,2026-06-29,Approved; to be applied in SAP by VZI.
APR-000075,REC-000104,Inventory Controller,VZIINV02,APPROVED,2026-08-31,Approved; to be applied in SAP by VZI.
APR-000076,REC-000105,Inventory Controller,VZIINV02,APPROVED,2026-05-31,Approved; to be applied in SAP by VZI.
APR-000077,REC-000106,Plant Head,VZIINV02,HELD,2026-09-07,Held pending further consumption evidence.
APR-000078,REC-000107,Inventory Controller,VZIINV01,REJECTED,2026-08-14,Consumption not considered representative.
APR-000079,REC-000108,Inventory Controller,VZIINV02,APPROVED,2026-09-07,Approved; to be applied in SAP by VZI.
APR-000080,REC-000109,Engineering Head,VZIINV01,HELD,2026-06-05,Held pending further consumption evidence.
APR-000081,REC-000110,Engineering Head,VZIINV01,REJECTED,2026-08-17,Consumption not considered representative.
APR-000082,REC-000111,Engineering Head,VZIINV01,HELD,2026-07-27,Held pending further consumption evidence.
APR-000083,REC-000112,Plant Head,VZIINV01,APPROVED,2026-07-07,Approved; to be applied in SAP by VZI.
APR-000084,REC-000113,Plant Head,VZIINV01,HELD,2026-08-19,Held pending further consumption evidence.
APR-000085,REC-000114,Plant Head,VZIINV02,APPROVED,2026-07-30,Approved; to be applied in SAP by VZI.
APR-000086,REC-000115,Plant Head,VZIINV02,APPROVED,2026-06-02,Approved; to be applied in SAP by VZI.
APR-000087,REC-000117,Inventory Controller,VZIINV01,REJECTED,2026-08-15,Consumption not considered representative.
APR-000088,REC-000118,Engineering Head,VZIINV02,APPROVED,2026-07-27,Approved; to be applied in SAP by VZI.
APR-000089,REC-000119,Engineering Head,VZIINV01,APPROVED,2026-08-16,Approved; to be applied in SAP by VZI.
APR-000090,REC-000120,Inventory Controller,VZIINV01,REJECTED,2026-09-07,Consumption not considered representative.
APR-000091,REC-000121,Commercial Head,VZIINV02,REJECTED,2026-07-17,Consumption not considered representative.
APR-000092,REC-000123,Plant Head,VZIINV01,APPROVED,2026-09-01,Approved; to be applied in SAP by VZI.
APR-000093,REC-000127,Inventory Controller,VZIINV02,APPROVED,2026-07-03,Approved; to be applied in SAP by VZI.
APR-000094,REC-000128,Engineering Head,VZIINV01,HELD,2026-08-12,Held pending further consumption evidence.
APR-000095,REC-000129,Engineering Head,VZIINV01,APPROVED,2026-07-09,Approved; to be applied in SAP by VZI.
APR-000096,REC-000130,Plant Head,VZIINV01,HELD,2026-06-08,Held pending further consumption evidence.
APR-000097,REC-000131,Inventory Controller,VZIINV01,HELD,2026-07-05,Held pending further consumption evidence.
APR-000098,REC-000132,Inventory Controller,VZIINV01,APPROVED,2026-06-03,Approved; to be applied in SAP by VZI.
APR-000099,REC-000133,Plant Head,VZIINV02,APPROVED,2026-06-02,Approved; to be applied in SAP by VZI.
APR-000100,REC-000135,Inventory Controller,VZIINV02,APPROVED,2026-07-24,Approved; to be applied in SAP by VZI.
APR-000101,REC-000136,Inventory Controller,VZIINV01,REJECTED,2026-06-11,Consumption not considered representative.
APR-000102,REC-000138,Engineering Head,VZIINV01,APPROVED,2026-06-13,Approved; to be applied in SAP by VZI.
APR-000103,REC-000139,Engineering Head,VZIINV02,APPROVED,2026-06-23,Approved; to be applied in SAP by VZI.
APR-000104,REC-000140,Engineering Head,VZIINV02,REJECTED,2026-06-18,Consumption not considered representative.
APR-000105,REC-000145,Plant Head,VZIINV01,APPROVED,2026-09-07,Approved; to be applied in SAP by VZI.
APR-000106,REC-000146,Plant Head,VZIINV02,APPROVED,2026-06-20,Approved; to be applied in SAP by VZI.
APR-000107,REC-000148,Inventory Controller,VZIINV01,REJECTED,2026-07-24,Consumption not considered representative.
APR-000108,REC-000151,Engineering Head,VZIINV01,APPROVED,2026-06-11,Approved; to be applied in SAP by VZI.
APR-000109,REC-000152,Commercial Head,VZIINV02,REJECTED,2026-06-29,Consumption not considered representative.
APR-000110,REC-000155,Engineering Head,VZIINV01,REJECTED,2026-06-28,Consumption not considered representative.
APR-000111,REC-000156,Plant Head,VZIINV02,REJECTED,2026-06-23,Consumption not considered representative.
APR-000112,REC-000158,Commercial Head,VZIINV01,REJECTED,2026-08-31,Consumption not considered representative.
APR-000113,REC-000162,Plant Head,VZIINV01,APPROVED,2026-06-28,Approved; to be applied in SAP by VZI.
APR-000114,REC-000163,Plant Head,VZIINV01,REJECTED,2026-06-05,Consumption not considered representative.
APR-000115,REC-000164,Inventory Controller,VZIINV01,APPROVED,2026-09-07,Approved; to be applied in SAP by VZI.
APR-000116,REC-000165,Inventory Controller,VZIINV01,REJECTED,2026-09-04,Consumption not considered representative.
APR-000117,REC-000166,Inventory Controller,VZIINV01,REJECTED,2026-06-25,Consumption not considered representative.
APR-000118,REC-000167,Commercial Head,VZIINV02,APPROVED,2026-08-01,Approved; to be applied in SAP by VZI.
APR-000119,REC-000168,Inventory Controller,VZIINV01,APPROVED,2026-07-28,Approved; to be applied in SAP by VZI.
APR-000120,REC-000169,Engineering Head,VZIINV02,APPROVED,2026-08-02,Approved; to be applied in SAP by VZI.
APR-000121,REC-000171,Inventory Controller,VZIINV01,APPROVED,2026-07-08,Approved; to be applied in SAP by VZI.
APR-000122,REC-000172,Inventory Controller,VZIINV01,REJECTED,2026-05-30,Consumption not considered representative.
APR-000123,REC-000174,Engineering Head,VZIINV02,APPROVED,2026-06-07,Approved; to be applied in SAP by VZI.
APR-000124,REC-000177,Inventory Controller,VZIINV01,APPROVED,2026-06-07,Approved; to be applied in SAP by VZI.
APR-000125,REC-000183,Plant Head,VZIINV01,APPROVED,2026-07-28,Approved; to be applied in SAP by VZI.
APR-000126,REC-000184,Plant Head,VZIINV01,APPROVED,2026-06-22,Approved; to be applied in SAP by VZI.
APR-000127,REC-000185,Engineering Head,VZIINV02,REJECTED,2026-05-25,Consumption not considered representative.
APR-000128,REC-000187,Inventory Controller,VZIINV01,REJECTED,2026-09-07,Consumption not considered representative.
APR-000129,REC-000188,Engineering Head,VZIINV02,APPROVED,2026-05-19,Approved; to be applied in SAP by VZI.
APR-000130,REC-000189,Inventory Controller,VZIINV01,APPROVED,2026-05-27,Approved; to be applied in SAP by VZI.
APR-000131,REC-000190,Plant Head,VZIINV01,APPROVED,2026-07-23,Approved; to be applied in SAP by VZI.
APR-000132,REC-000191,Plant Head,VZIINV02,REJECTED,2026-09-02,Consumption not considered representative.
APR-000133,REC-000192,Plant Head,VZIINV01,REJECTED,2026-07-23,Consumption not considered representative.
APR-000134,REC-000194,Inventory Controller,VZIINV02,REJECTED,2026-06-10,Consumption not considered representative.
APR-000135,REC-000195,Inventory Controller,VZIINV02,APPROVED,2026-08-23,Approved; to be applied in SAP by VZI.
APR-000136,REC-000196,Plant Head,VZIINV01,HELD,2026-05-30,Held pending further consumption evidence.
APR-000137,REC-000200,Engineering Head,VZIINV02,APPROVED,2026-07-14,Approved; to be applied in SAP by VZI.
APR-000138,REC-000201,Plant Head,VZIINV01,REJECTED,2026-08-28,Consumption not considered representative.
APR-000139,REC-000202,Inventory Controller,VZIINV01,HELD,2026-09-07,Held pending further consumption evidence.
APR-000140,REC-000203,Commercial Head,VZIINV01,REJECTED,2026-07-14,Consumption not considered representative.
APR-000141,REC-000204,Inventory Controller,VZIINV02,APPROVED,2026-07-29,Approved; to be applied in SAP by VZI.
APR-000142,REC-000206,Plant Head,VZIINV01,HELD,2026-05-27,Held pending further consumption evidence.
APR-000143,REC-000207,Plant Head,VZIINV01,REJECTED,2026-09-02,Consumption not considered representative.
APR-000144,REC-000209,Inventory Controller,VZIINV02,APPROVED,2026-07-10,Approved; to be applied in SAP by VZI.
APR-000145,REC-000210,Inventory Controller,VZIINV02,APPROVED,2026-09-07,Approved; to be applied in SAP by VZI.
APR-000146,REC-000212,Plant Head,VZIINV02,REJECTED,2026-07-01,Consumption not considered representative.
APR-000147,REC-000213,Commercial Head,VZIINV01,APPROVED,2026-07-11,Approved; to be applied in SAP by VZI.
APR-000148,REC-000214,Engineering Head,VZIINV01,APPROVED,2026-09-03,Approved; to be applied in SAP by VZI.
APR-000149,REC-000215,Inventory Controller,VZIINV02,APPROVED,2026-09-01,Approved; to be applied in SAP by VZI.
APR-000150,REC-000219,Plant Head,VZIINV02,HELD,2026-07-10,Held pending further consumption evidence.
APR-000151,REC-000220,Plant Head,VZIINV01,HELD,2026-05-25,Held pending further consumption evidence.
APR-000152,REC-000221,Engineering Head,VZIINV01,APPROVED,2026-08-20,Approved; to be applied in SAP by VZI.
APR-000153,REC-000224,Engineering Head,VZIINV01,APPROVED,2026-09-07,Approved; to be applied in SAP by VZI.
APR-000154,REC-000226,Inventory Controller,VZIINV02,APPROVED,2026-07-20,Approved; to be applied in SAP by VZI.
APR-000155,REC-000229,Engineering Head,VZIINV01,APPROVED,2026-08-25,Approved; to be applied in SAP by VZI.
APR-000156,REC-000231,Plant Head,VZIINV02,REJECTED,2026-05-23,Consumption not considered representative.
APR-000157,REC-000233,Engineering Head,VZIINV02,APPROVED,2026-06-18,Approved; to be applied in SAP by VZI.
APR-000158,REC-000234,Engineering Head,VZIINV02,REJECTED,2026-07-09,Consumption not considered representative.
APR-000159,REC-000235,Engineering Head,VZIINV01,APPROVED,2026-06-01,Approved; to be applied in SAP by VZI.
APR-000160,REC-000237,Plant Head,VZIINV01,APPROVED,2026-09-01,Approved; to be applied in SAP by VZI.
APR-000161,REC-000238,Plant Head,VZIINV02,REJECTED,2026-05-24,Consumption not considered representative.
APR-000162,REC-000239,Inventory Controller,VZIINV01,APPROVED,2026-05-28,Approved; to be applied in SAP by VZI.
APR-000163,REC-000241,Plant Head,VZIINV01,APPROVED,2026-07-26,Approved; to be applied in SAP by VZI.
APR-000164,REC-000243,Inventory Controller,VZIINV02,APPROVED,2026-07-25,Approved; to be applied in SAP by VZI.
APR-000165,REC-000244,Plant Head,VZIINV01,APPROVED,2026-07-21,Approved; to be applied in SAP by VZI.
APR-000166,REC-000245,Inventory Controller,VZIINV02,APPROVED,2026-07-23,Approved; to be applied in SAP by VZI.
APR-000167,REC-000246,Inventory Controller,VZIINV02,APPROVED,2026-07-23,Approved; to be applied in SAP by VZI.
APR-000168,REC-000251,Plant Head,VZIINV02,REJECTED,2026-06-20,Consumption not considered representative.
APR-000169,REC-000252,Plant Head,VZIINV02,APPROVED,2026-08-21,Approved; to be applied in SAP by VZI.
APR-000170,REC-000253,Engineering Head,VZIINV01,APPROVED,2026-07-22,Approved; to be applied in SAP by VZI.
APR-000171,REC-000257,Engineering Head,VZIINV02,HELD,2026-07-15,Held pending further consumption evidence.
APR-000172,REC-000258,Engineering Head,VZIINV01,APPROVED,2026-06-02,Approved; to be applied in SAP by VZI.
APR-000173,REC-000259,Plant Head,VZIINV02,HELD,2026-07-31,Held pending further consumption evidence.
APR-000174,REC-000261,Inventory Controller,VZIINV01,APPROVED,2026-06-14,Approved; to be applied in SAP by VZI.
APR-000175,REC-000264,Engineering Head,VZIINV02,APPROVED,2026-08-15,Approved; to be applied in SAP by VZI.
APR-000176,REC-000266,Commercial Head,VZIINV02,HELD,2026-07-15,Held pending further consumption evidence.
APR-000177,REC-000270,Plant Head,VZIINV02,APPROVED,2026-07-10,Approved; to be applied in SAP by VZI.
APR-000178,REC-000271,Plant Head,VZIINV02,APPROVED,2026-08-22,Approved; to be applied in SAP by VZI.
APR-000179,REC-000272,Plant Head,VZIINV02,HELD,2026-08-18,Held pending further consumption evidence.
APR-000180,REC-000274,Engineering Head,VZIINV02,HELD,2026-06-30,Held pending further consumption evidence.
APR-000181,REC-000275,Plant Head,VZIINV01,REJECTED,2026-05-30,Consumption not considered representative.
APR-000182,REC-000276,Engineering Head,VZIINV01,APPROVED,2026-06-23,Approved; to be applied in SAP by VZI.
APR-000183,REC-000277,Engineering Head,VZIINV02,REJECTED,2026-09-07,Consumption not considered representative.
APR-000184,REC-000278,Inventory Controller,VZIINV02,REJECTED,2026-06-20,Consumption not considered representative.
APR-000185,REC-000279,Inventory Controller,VZIINV01,APPROVED,2026-08-24,Approved; to be applied in SAP by VZI.
APR-000186,REC-000280,Inventory Controller,VZIINV02,APPROVED,2026-09-06,Approved; to be applied in SAP by VZI.
APR-000187,REC-000282,Plant Head,VZIINV01,APPROVED,2026-06-12,Approved; to be applied in SAP by VZI.
APR-000188,REC-000283,Engineering Head,VZIINV01,APPROVED,2026-06-27,Approved; to be applied in SAP by VZI.
APR-000189,REC-000284,Engineering Head,VZIINV02,REJECTED,2026-09-07,Consumption not considered representative.
APR-000190,REC-000285,Engineering Head,VZIINV02,APPROVED,2026-07-02,Approved; to be applied in SAP by VZI.
APR-000191,REC-000286,Plant Head,VZIINV01,APPROVED,2026-06-28,Approved; to be applied in SAP by VZI.
APR-000192,REC-000287,Plant Head,VZIINV02,APPROVED,2026-08-07,Approved; to be applied in SAP by VZI.
APR-000193,REC-000288,Plant Head,VZIINV02,HELD,2026-06-19,Held pending further consumption evidence.
APR-000194,REC-000289,Engineering Head,VZIINV01,APPROVED,2026-09-05,Approved; to be applied in SAP by VZI.
APR-000195,REC-000290,Inventory Controller,VZIINV02,APPROVED,2026-06-09,Approved; to be applied in SAP by VZI.
APR-000196,REC-000291,Commercial Head,VZIINV02,APPROVED,2026-06-23,Approved; to be applied in SAP by VZI.
APR-000197,REC-000293,Inventory Controller,VZIINV01,APPROVED,2026-07-31,Approved; to be applied in SAP by VZI.
APR-000198,REC-000295,Plant Head,VZIINV01,HELD,2026-06-21,Held pending further consumption evidence.
APR-000199,REC-000296,Plant Head,VZIINV01,HELD,2026-08-19,Held pending further consumption evidence.
APR-000200,REC-000297,Plant Head,VZIINV02,APPROVED,2026-06-17,Approved; to be applied in SAP by VZI.
APR-000201,REC-000298,Commercial Head,VZIINV01,HELD,2026-09-07,Held pending further consumption evidence.
APR-000202,REC-000299,Commercial Head,VZIINV02,APPROVED,2026-06-13,Approved; to be applied in SAP by VZI.
APR-000203,REC-000302,Plant Head,VZIINV02,REJECTED,2026-07-16,Consumption not considered representative.
APR-000204,REC-000303,Plant Head,VZIINV01,REJECTED,2026-07-18,Consumption not considered representative.
APR-000205,REC-000304,Engineering Head,VZIINV02,APPROVED,2026-09-07,Approved; to be applied in SAP by VZI.
APR-000206,REC-000305,Inventory Controller,VZIINV02,REJECTED,2026-06-02,Consumption not considered representative.
APR-000207,REC-000307,Inventory Controller,VZIINV01,REJECTED,2026-08-13,Consumption not considered representative.
APR-000208,REC-000309,Commercial Head,VZIINV01,APPROVED,2026-09-02,Approved; to be applied in SAP by VZI.
APR-000209,REC-000310,Commercial Head,VZIINV02,APPROVED,2026-08-27,Approved; to be applied in SAP by VZI.
APR-000210,REC-000312,Inventory Controller,VZIINV01,APPROVED,2026-05-29,Approved; to be applied in SAP by VZI.
APR-000211,REC-000313,Commercial Head,VZIINV01,APPROVED,2026-07-28,Approved; to be applied in SAP by VZI.
APR-000212,REC-000314,Inventory Controller,VZIINV02,REJECTED,2026-05-18,Consumption not considered representative.
APR-000213,REC-000315,Inventory Controller,VZIINV02,REJECTED,2026-08-20,Consumption not considered representative.
APR-000214,REC-000317,Engineering Head,VZIINV01,APPROVED,2026-08-06,Approved; to be applied in SAP by VZI.
APR-000215,REC-000319,Inventory Controller,VZIINV01,APPROVED,2026-06-12,Approved; to be applied in SAP by VZI.
APR-000216,REC-000320,Plant Head,VZIINV01,REJECTED,2026-09-07,Consumption not considered representative.
APR-000217,REC-000321,Engineering Head,VZIINV01,APPROVED,2026-08-30,Approved; to be applied in SAP by VZI.
APR-000218,REC-000322,Engineering Head,VZIINV01,APPROVED,2026-05-14,Approved; to be applied in SAP by VZI.
APR-000219,REC-000323,Inventory Controller,VZIINV01,APPROVED,2026-06-13,Approved; to be applied in SAP by VZI.
APR-000220,REC-000325,Plant Head,VZIINV02,APPROVED,2026-05-27,Approved; to be applied in SAP by VZI.
APR-000221,REC-000326,Plant Head,VZIINV02,APPROVED,2026-08-23,Approved; to be applied in SAP by VZI.
APR-000222,REC-000328,Inventory Controller,VZIINV01,APPROVED,2026-05-24,Approved; to be applied in SAP by VZI.
APR-000223,REC-000331,Plant Head,VZIINV02,APPROVED,2026-08-12,Approved; to be applied in SAP by VZI.
APR-000224,REC-000333,Inventory Controller,VZIINV02,APPROVED,2026-08-10,Approved; to be applied in SAP by VZI.
APR-000225,REC-000334,Plant Head,VZIINV01,HELD,2026-08-20,Held pending further consumption evidence.
APR-000226,REC-000335,Engineering Head,VZIINV01,REJECTED,2026-06-18,Consumption not considered representative.
APR-000227,REC-000336,Plant Head,VZIINV02,APPROVED,2026-06-01,Approved; to be applied in SAP by VZI.
APR-000228,REC-000337,Plant Head,VZIINV02,APPROVED,2026-07-09,Approved; to be applied in SAP by VZI.
APR-000229,REC-000340,Engineering Head,VZIINV01,APPROVED,2026-07-08,Approved; to be applied in SAP by VZI.
APR-000230,REC-000341,Inventory Controller,VZIINV01,APPROVED,2026-08-13,Approved; to be applied in SAP by VZI.
APR-000231,REC-000343,Engineering Head,VZIINV01,HELD,2026-05-29,Held pending further consumption evidence.
APR-000232,REC-000344,Engineering Head,VZIINV01,REJECTED,2026-09-02,Consumption not considered representative.
APR-000233,REC-000346,Commercial Head,VZIINV01,REJECTED,2026-09-07,Consumption not considered representative.
APR-000234,REC-000348,Engineering Head,VZIINV02,APPROVED,2026-08-10,Approved; to be applied in SAP by VZI.
APR-000235,REC-000349,Commercial Head,VZIINV01,REJECTED,2026-07-21,Consumption not considered representative.
APR-000236,REC-000352,Plant Head,VZIINV02,APPROVED,2026-06-02,Approved; to be applied in SAP by VZI.
APR-000237,REC-000353,Commercial Head,VZIINV02,HELD,2026-09-07,Held pending further consumption evidence.
APR-000238,REC-000355,Commercial Head,VZIINV02,APPROVED,2026-08-10,Approved; to be applied in SAP by VZI.
APR-000239,REC-000357,Plant Head,VZIINV01,APPROVED,2026-09-03,Approved; to be applied in SAP by VZI.
APR-000240,REC-000358,Plant Head,VZIINV02,APPROVED,2026-07-07,Approved; to be applied in SAP by VZI.
APR-000241,REC-000359,Plant Head,VZIINV02,REJECTED,2026-08-07,Consumption not considered representative.
APR-000242,REC-000360,Plant Head,VZIINV01,APPROVED,2026-07-29,Approved; to be applied in SAP by VZI.
APR-000243,REC-000361,Inventory Controller,VZIINV02,APPROVED,2026-09-07,Approved; to be applied in SAP by VZI.
APR-000244,REC-000362,Inventory Controller,VZIINV01,APPROVED,2026-07-14,Approved; to be applied in SAP by VZI.
APR-000245,REC-000363,Inventory Controller,VZIINV01,APPROVED,2026-08-23,Approved; to be applied in SAP by VZI.
APR-000246,REC-000364,Inventory Controller,VZIINV02,REJECTED,2026-07-27,Consumption not considered representative.
APR-000247,REC-000365,Commercial Head,VZIINV02,APPROVED,2026-07-08,Approved; to be applied in SAP by VZI.
APR-000248,REC-000367,Commercial Head,VZIINV02,APPROVED,2026-07-29,Approved; to be applied in SAP by VZI.
APR-000249,REC-000368,Inventory Controller,VZIINV02,APPROVED,2026-08-13,Approved; to be applied in SAP by VZI.
APR-000250,REC-000369,Plant Head,VZIINV01,REJECTED,2026-07-04,Consumption not considered representative.
APR-000251,REC-000370,Plant Head,VZIINV02,APPROVED,2026-08-23,Approved; to be applied in SAP by VZI.
APR-000252,REC-000371,Commercial Head,VZIINV01,HELD,2026-08-18,Held pending further consumption evidence.
APR-000253,REC-000372,Inventory Controller,VZIINV02,APPROVED,2026-08-25,Approved; to be applied in SAP by VZI.
APR-000254,REC-000374,Inventory Controller,VZIINV02,APPROVED,2026-06-03,Approved; to be applied in SAP by VZI.
APR-000255,REC-000375,Inventory Controller,VZIINV02,APPROVED,2026-05-27,Approved; to be applied in SAP by VZI.
APR-000256,REC-000376,Inventory Controller,VZIINV02,APPROVED,2026-05-29,Approved; to be applied in SAP by VZI.
APR-000257,REC-000377,Engineering Head,VZIINV01,REJECTED,2026-07-06,Consumption not considered representative.
